nch18_gm_gds (ll=3.5e-07) X,nch18_gm_gds (ll=3.5e-07) Y,nch18_gm_gds (ll=4e-07) X,nch18_gm_gds (ll=4e-07) Y,nch18_gm_gds (ll=5e-07) X,nch18_gm_gds (ll=5e-07) Y,nch18_gm_gds (ll=6e-07) X,nch18_gm_gds (ll=6e-07) Y,nch18_gm_gds (ll=7e-07) X,nch18_gm_gds (ll=7e-07) Y,nch18_gm_gds (ll=8e-07) X,nch18_gm_gds (ll=8e-07) Y,nch18_gm_gds (ll=9e-07) X,nch18_gm_gds (ll=9e-07) Y,nch18_gm_gds (ll=1e-06) X,nch18_gm_gds (ll=1e-06) Y,nch18_gm_gds (ll=1.2e-06) X,nch18_gm_gds (ll=1.2e-06) Y,nch18_gm_gds (ll=1.4e-06) X,nch18_gm_gds (ll=1.4e-06) Y,nch18_gm_gds (ll=1.6e-06) X,nch18_gm_gds (ll=1.6e-06) Y,nch18_gm_gds (ll=1.8e-06) X,nch18_gm_gds (ll=1.8e-06) Y,nch18_gm_gds (ll=2e-06) X,nch18_gm_gds (ll=2e-06) Y,nch18_gm_gds (ll=2.2e-06) X,nch18_gm_gds (ll=2.2e-06) Y,nch18_gm_gds (ll=2.4e-06) X,nch18_gm_gds (ll=2.4e-06) Y
0.3900000000000002,284.9706788576335,0.3900000000000002,361.0419671993766,0.3900000000000002,454.0489326619038,0.3900000000000002,504.7406499586804,0.3900000000000002,540.8701248946904,0.3900000000000002,570.6601579617208,0.3900000000000002,596.489021067301,0.3900000000000002,619.3222365495226,0.3900000000000002,658.0992164885173,0.3900000000000002,689.928041702876,0.3900000000000002,716.6006544375315,0.3900000000000002,739.3148633530917,0.3900000000000002,758.9116219136994,0.3900000000000002,776.0030404859439,0.3900000000000002,791.047403463932
0.4000000000000002,282.5339078877466,0.4000000000000002,357.81017476127,0.4000000000000002,450.1208860811743,0.4000000000000002,500.8366219438188,0.4000000000000002,537.2338475008872,0.4000000000000002,567.3810251073193,0.4000000000000002,593.605642517632,0.4000000000000002,616.8498547177406,0.4000000000000002,656.446284463791,0.4000000000000002,689.0521080525024,0.4000000000000002,716.4413846954292,0.4000000000000002,739.8093932828849,0.4000000000000002,760.0005742746226,0.4000000000000002,777.6325332544588,0.4000000000000002,793.1693780913357
0.4100000000000002,280.0744088113367,0.4100000000000002,354.5414355739454,0.4100000000000002,446.1718975601881,0.4100000000000002,496.9496008286428,0.4100000000000002,533.6433030911326,0.4100000000000002,564.1606624177784,0.4100000000000002,590.7796126701888,0.4100000000000002,614.4218849735639,0.4100000000000002,654.7889661109557,0.4100000000000002,688.1071649901749,0.4100000000000002,716.1439194675387,0.4100000000000002,740.0979740574056,0.4100000000000002,760.8201167008365,0.4100000000000002,778.9345796665272,0.4100000000000002,794.9115192391386
0.4200000000000002,277.6019118961897,0.4200000000000002,351.2343440842414,0.4200000000000002,442.1655519600502,0.4200000000000002,492.9994990078266,0.4200000000000002,529.9706226959562,0.4200000000000002,560.8225204144744,0.4200000000000002,587.7872393168041,0.4200000000000002,611.7705600556376,0.4200000000000002,652.7830919942721,0.4200000000000002,686.6884709598154,0.4200000000000002,715.2565902652941,0.4200000000000002,739.6928678433572,0.4200000000000002,760.8548050398397,0.4200000000000002,779.3723951814736,0.4200000000000002,795.7205386962752
0.4300000000000002,275.1094414985512,0.4300000000000002,347.8609520925215,0.4300000000000002,438.0211467735373,0.4300000000000002,488.8495179503635,0.4300000000000002,526.0240748861287,0.4300000000000002,557.1237145532973,0.4300000000000002,584.3399032705673,0.4300000000000002,608.5675853299617,0.4300000000000002,650.0385183322452,0.4300000000000002,684.36355606666,0.4300000000000002,713.3189965661463,0.4300000000000002,738.1158708780944,0.4300000000000002,759.61562223565,0.4300000000000002,778.4509384725042,0.4300000000000002,795.0986420772545
0.4400000000000002,272.5698603839961,0.4400000000000002,344.3639585914929,0.4400000000000002,433.6158087277997,0.4400000000000002,484.3161758674239,0.4400000000000002,521.5674145558651,0.4400000000000002,552.7839943553556,0.4400000000000002,580.1221796569426,0.4400000000000002,604.4705021099828,0.4400000000000002,646.1786447829652,0.4400000000000002,680.7406835407639,0.4400000000000002,709.9360822615336,0.4400000000000002,734.9756027014517,0.4400000000000002,756.7188208680466,0.4400000000000002,775.7961890638736,0.4400000000000002,792.6825020539872
0.4500000000000002,269.9360086245657,0.4500000000000002,340.6599642925573,0.4500000000000002,428.7971718159972,0.4500000000000002,479.1927038310698,0.4500000000000002,516.3536443124505,0.4500000000000002,547.5286257844595,0.4500000000000002,574.8421639570455,0.4500000000000002,599.1787009752775,0.4500000000000002,640.9031571378766,0.4500000000000002,675.5337143903956,0.4500000000000002,704.8422464165852,0.4500000000000002,730.0292195162351,0.4500000000000002,751.9443825063142,0.4500000000000002,771.2099734648305,0.4500000000000002,788.294352309697
0.4600000000000002,267.145343500012,0.4600000000000002,336.6495265567032,0.4600000000000002,423.4056945051539,0.4600000000000002,473.2821618064505,0.4600000000000002,510.1664641690719,0.4600000000000002,541.135526836383,0.4600000000000002,568.2818333138027,0.4600000000000002,592.4849505132115,0.4600000000000002,634.0375295867534,0.4600000000000002,668.6062569410858,0.4600000000000002,697.9387880483977,0.4600000000000002,723.2128750886037,0.4600000000000002,745.2597430991241,0.4600000000000002,764.6874332594303,0.4600000000000002,781.9537525937749
0.4700000000000003,264.1287564544868,0.4700000000000003,332.2326700835891,0.4700000000000003,417.3022115486449,0.4700000000000003,466.4326353298283,0.4700000000000003,502.8590562663226,0.4700000000000003,533.4743920575671,0.4700000000000003,560.3341106232535,0.4700000000000003,584.3087829007666,0.4700000000000003,625.5565773894041,0.4700000000000003,659.9845385248964,0.4700000000000003,689.2967028667767,0.4700000000000003,714.6355548960372,0.4700000000000003,736.8058566918014,0.4700000000000003,756.3964215750391,0.4700000000000003,773.8512793666144
0.4800000000000003,260.8218526518805,0.4800000000000003,327.3264823342514,0.4800000000000003,410.393911842371,0.4800000000000003,458.5653124465304,0.4800000000000003,494.3798996921731,0.4800000000000003,524.5275322493626,0.4800000000000003,551.0172479179394,0.4800000000000003,574.7038108096552,0.4800000000000003,615.5778361216702,0.4800000000000003,649.8385953402249,0.4800000000000003,679.1278561617301,0.4800000000000003,704.5422082661893,0.4800000000000003,726.853913693102,0.4800000000000003,746.6290958869223,0.4800000000000003,764.2959993057357
