pch18_ft (ll=3.5e-07) X,pch18_ft (ll=3.5e-07) Y,pch18_ft (ll=4e-07) X,pch18_ft (ll=4e-07) Y,pch18_ft (ll=5e-07) X,pch18_ft (ll=5e-07) Y,pch18_ft (ll=6e-07) X,pch18_ft (ll=6e-07) Y,pch18_ft (ll=7e-07) X,pch18_ft (ll=7e-07) Y,pch18_ft (ll=8e-07) X,pch18_ft (ll=8e-07) Y,pch18_ft (ll=9e-07) X,pch18_ft (ll=9e-07) Y,pch18_ft (ll=1e-06) X,pch18_ft (ll=1e-06) Y,pch18_ft (ll=1.2e-06) X,pch18_ft (ll=1.2e-06) Y,pch18_ft (ll=1.4e-06) X,pch18_ft (ll=1.4e-06) Y,pch18_ft (ll=1.6e-06) X,pch18_ft (ll=1.6e-06) Y,pch18_ft (ll=1.8e-06) X,pch18_ft (ll=1.8e-06) Y,pch18_ft (ll=2e-06) X,pch18_ft (ll=2e-06) Y,pch18_ft (ll=2.2e-06) X,pch18_ft (ll=2.2e-06) Y,pch18_ft (ll=2.4e-06) X,pch18_ft (ll=2.4e-06) Y
0.3900000000000002,-207388022.6535321,0.3900000000000002,-174676865.6996494,0.3900000000000002,-130648823.2229007,0.3900000000000002,-101352151.8942779,0.3900000000000002,-80612774.95129381,0.3900000000000002,-65451274.61286473,0.3900000000000002,-54087367.49178927,0.3900000000000002,-45383008.49115358,0.3900000000000002,-33187890.52750846,0.3900000000000002,-25276407.05466751,0.3900000000000002,-19871700.260215,0.3900000000000002,-16023604.5800918,0.3900000000000002,-13190115.60020907,0.3900000000000002,-11044962.48362204,0.3900000000000002,-9382687.138927901
0.4000000000000002,-239603666.6059559,0.4000000000000002,-200358523.9295413,0.4000000000000002,-147972985.8560016,0.4000000000000002,-113651853.8980386,0.4000000000000002,-89692597.06782539,0.4000000000000002,-72373613.47044183,0.4000000000000002,-59509217.61891234,0.4000000000000002,-49727284.99005733,0.4000000000000002,-36134848.94705297,0.4000000000000002,-27393242.93471785,0.4000000000000002,-21459698.46450508,0.4000000000000002,-17255876.79470913,0.4000000000000002,-14172525.76109081,0.4000000000000002,-11845595.60295215,0.4000000000000002,-10047183.15210956
0.4100000000000002,-274918465.6136728,0.4100000000000002,-228239866.0836848,0.4100000000000002,-166485327.8369191,0.4100000000000002,-126645970.227701,0.4100000000000002,-99207167.96217124,0.4100000000000002,-79584715.30249852,0.4100000000000002,-65132733.42093182,0.4100000000000002,-54218496.97595117,0.4100000000000002,-39168178.52402313,0.4100000000000002,-29566393.28024793,0.4100000000000002,-23087291.41449672,0.4100000000000002,-18517587.38475457,0.4100000000000002,-15177765.14284786,0.4100000000000002,-12664515.95706881,0.4100000000000002,-10726705.38436251
0.4200000000000002,-313377021.8671936,0.4200000000000002,-258317835.8628416,0.4200000000000002,-186152803.5310646,0.4200000000000002,-140301680.0156352,0.4200000000000002,-109129760.3182425,0.4200000000000002,-87063784.718586,0.4200000000000002,-70941788.87349999,0.4200000000000002,-58843999.69577853,0.4200000000000002,-42279714.7975259,0.4200000000000002,-31790231.2759341,0.4200000000000002,-24750380.06289484,0.4200000000000002,-19805614.06406569,0.4200000000000002,-16203369.72990979,0.4200000000000002,-13499723.40370843,0.4200000000000002,-11419593.03023608
0.4300000000000002,-354982594.5308755,0.4300000000000002,-290557684.2845129,0.4300000000000002,-206924200.2954838,0.4300000000000002,-154575636.4299656,0.4300000000000002,-119427356.1072863,0.4300000000000002,-94786162.77451843,0.4300000000000002,-76917848.61944023,0.4300000000000002,-63589647.00133458,0.4300000000000002,-45460767.8157998,0.4300000000000002,-34059049.4481564,0.4300000000000002,-26444997.55137708,0.4300000000000002,-21117068.73599177,0.4300000000000002,-17247155.50172186,0.4300000000000002,-14349514.06549059,0.4300000000000002,-12124482.04953231
0.4400000000000002,-399689390.6631863,0.4400000000000002,-324889765.5171085,0.4400000000000002,-228731827.2188001,0.4400000000000002,-169417374.5014483,0.4400000000000002,-130064430.8660931,0.4400000000000002,-102726967.3362937,0.4400000000000002,-83043285.8438427,0.4400000000000002,-68442747.68548721,0.4400000000000002,-48704421.81253039,0.4400000000000002,-36368852.39730082,0.4400000000000002,-28168726.27773326,0.4400000000000002,-22450436.17700662,0.4400000000000002,-18308148.26138084,0.4400000000000002,-15213250.95328695,0.4400000000000002,-12840952.4310083
0.4500000000000002,-447402642.815425,0.4500000000000002,-361213770.8360711,0.4500000000000002,-251498786.3433146,0.4500000000000002,-184776441.7446903,0.4500000000000002,-141009105.8664683,0.4500000000000002,-110866198.8089556,0.4500000000000002,-89305579.95158353,0.4500000000000002,-73395523.49682385,0.4500000000000002,-52007933.00440867,0.4500000000000002,-38719077.95456209,0.4500000000000002,-29921974.72810932,0.4500000000000002,-23806548.99704704,0.4500000000000002,-19387346.77377474,0.4500000000000002,-16091974.11030324,0.4500000000000002,-13570024.987434
0.4600000000000002,-497989114.8839754,0.4600000000000002,-399411340.5461565,0.4600000000000002,-275150865.5255077,0.4600000000000002,-200611733.995229,0.4600000000000002,-152240153.9859485,0.4600000000000002,-119193978.4080036,0.4600000000000002,-95701273.09912498,0.4600000000000002,-78448141.07476467,0.4600000000000002,-55374592.26483975,0.4600000000000002,-41113805.39144104,0.4600000000000002,-31708797.40915661,0.4600000000000002,-25189165.11153742,0.4600000000000002,-20488142.12169782,0.4600000000000002,-16988713.01618978,0.4600000000000002,-14314399.13988659
0.4700000000000003,-551297736.4009329,0.4700000000000003,-439365353.5210163,0.4700000000000003,-299630498.2479095,0.4700000000000003,-216900754.0810314,0.4700000000000003,-163753067.4430987,0.4700000000000003,-127714566.525195,0.4700000000000003,-102238673.279878,0.4700000000000003,-83610557.28873914,0.4700000000000003,-58814611.73224932,0.4700000000000003,-43562184.59525172,0.4700000000000003,-33537091.53360983,0.4700000000000003,-26605040.77868464,0.4700000000000003,-21616323.10145769,0.4700000000000003,-17908454.59755011,0.4700000000000003,-15078400.5152066
0.4800000000000003,-607186877.8529269,0.4800000000000003,-480981954.4478753,0.4800000000000003,-324909500.0846335,0.4800000000000003,-233646530.3251341,0.4800000000000003,-175563715.8696634,0.4800000000000003,-136448219.1353352,0.4800000000000003,-108938703.8837341,0.4800000000000003,-88902798.23697507,0.4800000000000003,-62344892.87991951,0.4800000000000003,-46078048.13463093,0.4800000000000003,-35418179.6090275,0.4800000000000003,-28063529.5606114,0.4800000000000003,-22779706.85259528,0.4800000000000003,-18857808.82714206,0.4800000000000003,-15867680.14921713
