pch18_gm_gds (ll=3.5e-07) X,pch18_gm_gds (ll=3.5e-07) Y,pch18_gm_gds (ll=4e-07) X,pch18_gm_gds (ll=4e-07) Y,pch18_gm_gds (ll=5e-07) X,pch18_gm_gds (ll=5e-07) Y,pch18_gm_gds (ll=6e-07) X,pch18_gm_gds (ll=6e-07) Y,pch18_gm_gds (ll=7e-07) X,pch18_gm_gds (ll=7e-07) Y,pch18_gm_gds (ll=8e-07) X,pch18_gm_gds (ll=8e-07) Y,pch18_gm_gds (ll=9e-07) X,pch18_gm_gds (ll=9e-07) Y,pch18_gm_gds (ll=1e-06) X,pch18_gm_gds (ll=1e-06) Y,pch18_gm_gds (ll=1.2e-06) X,pch18_gm_gds (ll=1.2e-06) Y,pch18_gm_gds (ll=1.4e-06) X,pch18_gm_gds (ll=1.4e-06) Y,pch18_gm_gds (ll=1.6e-06) X,pch18_gm_gds (ll=1.6e-06) Y,pch18_gm_gds (ll=1.8e-06) X,pch18_gm_gds (ll=1.8e-06) Y,pch18_gm_gds (ll=2e-06) X,pch18_gm_gds (ll=2e-06) Y,pch18_gm_gds (ll=2.2e-06) X,pch18_gm_gds (ll=2.2e-06) Y,pch18_gm_gds (ll=2.4e-06) X,pch18_gm_gds (ll=2.4e-06) Y
0.2700000000000001,229.2191718675206,0.2700000000000001,292.2371328381287,0.2700000000000001,368.247171025833,0.2700000000000001,406.1056570747376,0.2700000000000001,430.1233534914166,0.2700000000000001,448.0886193522081,0.2700000000000001,462.472288953742,0.2700000000000001,474.347632026005,0.2700000000000001,492.8619164985973,0.2700000000000001,506.6393810992473,0.2700000000000001,517.2917565505098,0.2700000000000001,525.7737310542324,0.2700000000000001,532.6872029552701,0.2700000000000001,538.4304187929803,0.2700000000000001,543.277359544368
0.2800000000000001,228.0947716984282,0.2800000000000001,290.7464423717137,0.2800000000000001,366.2821601313575,0.2800000000000001,403.8960247502841,0.2800000000000001,427.7630880893086,0.2800000000000001,445.622310847079,0.2800000000000001,459.9268499153774,0.2800000000000001,471.74148040546,0.2800000000000001,490.1707666589329,0.2800000000000001,503.8936703388936,0.2800000000000001,514.509562547659,0.2800000000000001,522.9663452080982,0.2800000000000001,529.8619718291293,0.2800000000000001,535.5922859740887,0.2800000000000001,540.4297464292586
0.2900000000000001,226.8704708828739,0.2900000000000001,289.1274340794669,0.2900000000000001,364.1624119090427,0.2900000000000001,401.5302855755726,0.2900000000000001,425.2539524990235,0.2900000000000001,443.017220580036,0.2900000000000001,457.2536294700853,0.2900000000000001,469.0186513346194,0.2900000000000001,487.3841061921681,0.2900000000000001,501.0714412687798,0.2900000000000001,511.6675418516701,0.2900000000000001,520.1137254102578,0.2900000000000001,527.0042781922535,0.2900000000000001,532.7329103857672,0.2900000000000001,537.5707953876803
0.3000000000000001,225.5448060221776,0.3000000000000001,287.3800227663032,0.3000000000000001,361.8934157269625,0.3000000000000001,399.0209903104163,0.3000000000000001,422.6154134396979,0.3000000000000001,440.299170989333,0.3000000000000001,454.4841852934095,0.3000000000000001,466.2158484568427,0.3000000000000001,484.5473946867381,0.3000000000000001,498.2252514888694,0.3000000000000001,508.8240821971918,0.3000000000000001,517.279114873012,0.3000000000000001,524.1814620077122,0.3000000000000001,529.9231295831152,0.3000000000000001,534.7743616862523
0.3100000000000001,224.1191660741843,0.3100000000000001,285.5081767690872,0.3100000000000001,359.486780065568,0.3100000000000001,396.3883711646993,0.3100000000000001,419.8757985601426,0.3100000000000001,437.5037513206665,0.3100000000000001,451.660547764531,0.3100000000000001,463.3808050754223,0.3100000000000001,481.7179249359492,0.3100000000000001,495.4200259495497,0.3100000000000001,506.0503076906954,0.3100000000000001,514.5387567485147,0.3100000000000001,521.4740568986371,0.3100000000000001,527.2471207403514,0.3100000000000001,532.1277525922079
0.3200000000000001,222.5983532637524,0.3200000000000001,283.5205229049317,0.3200000000000001,356.9606662968833,0.3200000000000001,393.6604242733657,0.3200000000000001,417.0719651834837,0.3200000000000001,434.6755611732626,0.3200000000000001,448.8340504029515,0.3200000000000001,460.5707243511346,0.3200000000000001,478.9625645479678,0.3200000000000001,492.7302065222365,0.3200000000000001,503.4267284477865,0.3200000000000001,511.978119779008,0.3200000000000001,518.9716536304298,0.3200000000000001,524.7979522857853,0.3200000000000001,529.7270083400082
0.3300000000000001,220.9909411889361,0.3300000000000001,281.4305710519783,0.3300000000000001,354.3394543486311,0.3300000000000001,390.8718684542548,0.3300000000000001,414.2475368638012,0.3300000000000001,431.8657574268579,0.3300000000000001,446.062238002367,0.3300000000000001,457.8486045947078,0.3300000000000001,476.3530759822254,0.3300000000000001,490.2342505958942,0.3300000000000001,501.0370635352317,0.3300000000000001,509.6851595550934,0.3300000000000001,516.7656890707755,0.3300000000000001,522.6699713275776,0.3300000000000001,527.6689446845102
0.3400000000000001,219.3092638318074,0.3400000000000001,279.2563158373897,0.3400000000000001,351.6522900495979,0.3400000000000001,388.0615797256017,0.3400000000000001,411.4492931448472,0.3400000000000001,429.1274976985457,0.3400000000000001,443.4034664916309,0.3400000000000001,455.277092186733,0.3400000000000001,473.9587246389332,0.3400000000000001,488.0062578011306,0.3400000000000001,498.9590822408576,0.3400000000000001,507.7405207736308,0.3400000000000001,514.9391204700805,0.3400000000000001,520.9480355410903,0.3400000000000001,526.040009443768
0.3500000000000001,217.568849761134,0.3500000000000001,277.018968098753,0.3500000000000001,348.930220921111,0.3500000000000001,385.2682372818587,0.3500000000000001,408.7215153576956,0.3500000000000001,426.5091680666332,0.3500000000000001,440.9091738358007,0.3500000000000001,452.9099335801761,0.3500000000000001,471.8364209345048,0.3500000000000001,486.105125423432,0.3500000000000001,497.2529982363348,0.3500000000000001,506.2053305745264,0.3500000000000001,513.553734886993,0.3500000000000001,519.6944258721242,0.3500000000000001,524.9028648884191
0.3600000000000002,215.7871360866339,0.3600000000000002,274.7406347352297,0.3600000000000002,346.2018161809336,0.3600000000000002,382.5242314813181,0.3600000000000002,406.0985198933791,0.3600000000000002,424.0458102123283,0.3600000000000002,438.6144130062074,0.3600000000000002,450.7817809360133,0.3600000000000002,470.019436890552,0.3600000000000002,484.5625083870234,0.3600000000000002,495.9488861667453,0.3600000000000002,505.1082130549896,0.3600000000000002,512.6368583406958,0.3600000000000002,518.9353184652168,0.3600000000000002,524.2826717077813
0.3700000000000002,213.9813807495371,0.3700000000000002,272.4409337178534,0.3700000000000002,343.487517314558,0.3700000000000002,379.8483893939228,0.3700000000000002,403.5962360946172,0.3700000000000002,421.7498812029771,0.3700000000000002,436.5280259207618,0.3700000000000002,448.8979461217918,0.3700000000000002,468.5066457034563,0.3700000000000002,483.3718040548833,0.3700000000000002,495.0355528752646,0.3700000000000002,504.434125445341,0.3700000000000002,512.1702011060192,0.3700000000000002,518.6496638047231,0.3700000000000002,524.1560154406465
