nch18_Cdd_Cgg (ll=3.5e-07) X,nch18_Cdd_Cgg (ll=3.5e-07) Y,nch18_Cdd_Cgg (ll=4e-07) X,nch18_Cdd_Cgg (ll=4e-07) Y,nch18_Cdd_Cgg (ll=5e-07) X,nch18_Cdd_Cgg (ll=5e-07) Y,nch18_Cdd_Cgg (ll=6e-07) X,nch18_Cdd_Cgg (ll=6e-07) Y,nch18_Cdd_Cgg (ll=7e-07) X,nch18_Cdd_Cgg (ll=7e-07) Y,nch18_Cdd_Cgg (ll=8e-07) X,nch18_Cdd_Cgg (ll=8e-07) Y,nch18_Cdd_Cgg (ll=9e-07) X,nch18_Cdd_Cgg (ll=9e-07) Y,nch18_Cdd_Cgg (ll=1e-06) X,nch18_Cdd_Cgg (ll=1e-06) Y,nch18_Cdd_Cgg (ll=1.2e-06) X,nch18_Cdd_Cgg (ll=1.2e-06) Y,nch18_Cdd_Cgg (ll=1.4e-06) X,nch18_Cdd_Cgg (ll=1.4e-06) Y,nch18_Cdd_Cgg (ll=1.6e-06) X,nch18_Cdd_Cgg (ll=1.6e-06) Y,nch18_Cdd_Cgg (ll=1.8e-06) X,nch18_Cdd_Cgg (ll=1.8e-06) Y,nch18_Cdd_Cgg (ll=2e-06) X,nch18_Cdd_Cgg (ll=2e-06) Y,nch18_Cdd_Cgg (ll=2.2e-06) X,nch18_Cdd_Cgg (ll=2.2e-06) Y,nch18_Cdd_Cgg (ll=2.4e-06) X,nch18_Cdd_Cgg (ll=2.4e-06) Y
0.09999999999999999,0.2293084003642957,0.09999999999999999,0.2093694591491516,0.09999999999999999,0.1784566339395181,0.09999999999999999,0.1555733640441159,0.09999999999999999,0.1379325766952652,0.09999999999999999,0.123908496804781,0.09999999999999999,0.1124871993245883,0.09999999999999999,0.1030027134070621,0.09999999999999999,0.08815368752701352,0.09999999999999999,0.07705645641576249,0.09999999999999999,0.06844599512588571,0.09999999999999999,0.06156937335185433,0.09999999999999999,0.05595013430077327,0.09999999999999999,0.05127193229921925,0.09999999999999999,0.04731642820461492
0.11,0.2298579221002152,0.11,0.20990733475823,0.11,0.1789597439641389,0.11,0.1560384042801764,0.11,0.138361596098121,0.11,0.1243049998061319,0.11,0.1128548325585544,0.11,0.1033448344688307,0.11,0.08845324968887826,0.11,0.07732228882472818,0.11,0.06868462450725078,0.11,0.06178568434577315,0.11,0.05614784775113389,0.11,0.05145393420447588,0.11,0.04748499529570342
0.12,0.2303969473413597,0.12,0.2104346983054491,0.12,0.1794526296473124,0.12,0.156493651281793,0.12,0.1387812670964931,0.12,0.1246925728530679,0.12,0.1132139181164401,0.12,0.1036787544651627,0.12,0.08874521217239502,0.12,0.07758102678664075,0.12,0.06891659308533024,0.12,0.0619957134488252,0.12,0.05633961501005094,0.12,0.05163029050233058,0.12,0.0476481881505878
0.13,0.2309252438710275,0.13,0.2109512840697314,0.13,0.1799349365849386,0.13,0.156938656170102,0.13,0.1391910517835311,0.13,0.1250705984957798,0.13,0.1135637696110539,0.13,0.1040037284833215,0.13,0.08902874089992674,0.13,0.07783177739695596,0.13,0.06914097183196763,0.13,0.06219851208197062,0.13,0.05652447989148254,0.13,0.05180004593388983,0.13,0.04780505848395104
0.14,0.2314423600576775,0.14,0.2114565936407503,0.14,0.1804060447597154,0.14,0.1573726710319289,0.14,0.1395900829906954,0.14,0.1254381040799535,0.14,0.1139033238951223,0.14,0.1043186173862349,0.14,0.08930258310651927,0.14,0.07807321549631217,0.14,0.06935639367737843,0.14,0.0623926932643389,0.14,0.05670105116984842,0.14,0.0519618160731051,0.14,0.04795423636902538
0.15,0.2319475340700412,0.15,0.2119497990127939,0.15,0.1808649589180967,0.15,0.1577945275994165,0.15,0.1399770329536268,0.15,0.1257936221874226,0.15,0.1142309949618426,0.15,0.1046217366756975,0.15,0.08956490982738179,0.15,0.07830342348726975,0.15,0.06956089318414881,0.15,0.06257627282245405,0.15,0.05686734640949448,0.15,0.05211363445409919,0.15,0.04809378106252249
0.16,0.232439573195325,0.16,0.2124296137048554,0.16,0.1813101627252662,0.16,0.1582024759331831,0.16,0.1403499389086872,0.16,0.1261350056453521,0.16,0.1145444806931796,0.16,0.1049106570303476,0.16,0.08981310898792358,0.16,0.07851968186544264,0.16,0.0697516977758609,0.16,0.06274646341962142,0.16,0.0570205901097231,0.16,0.05225275561551684,0.16,0.04822098937678298
0.17,0.2329166939108155,0.17,0.2128941219388285,0.17,0.1817394256288014,0.17,0.1585939712376472,0.17,0.1407059732562424,0.17,0.1264591845144987,0.17,0.114840509853967,0.17,0.1051819440659542,0.17,0.09004351726291376,0.17,0.07871819947961514,0.17,0.06992496046148942,0.17,0.06289941226857954,0.17,0.05715695790324683,0.17,0.05237540660795587,0.17,0.04833215488047085
0.18,0.2333763112076829,0.18,0.2133405536721673,0.18,0.1821495490888543,0.18,0.1589653947767337,0.18,0.1410411439928492,0.18,0.1267618508386916,0.18,0.1151145154561932,0.18,0.1054308239722588,0.18,0.09025107875029192,0.18,0.07889377313718746,0.18,0.07007542523533854,0.18,0.0630298751708053,0.18,0.05727126077653243,0.18,0.05247648210959539,0.18,0.04842227410585143
0.19,0.2338147634977735,0.19,0.2137649910858304,0.19,0.1825360367839035,0.19,0.1593116931722031,0.19,0.1413499099441474,0.19,0.1270370563791235,0.19,0.1153602207210069,0.19,0.1056507624603183,0.19,0.09042892059072204,0.19,0.07903936941729389,0.19,0.07019602055664775,0.19,0.06313082454814378,0.19,0.05735656893827626,0.19,0.05254918444912488,0.19,0.0484847024746526
0.2,0.2342269575780521,0.2,0.2141619903681175,0.2,0.1828926721438707,0.2,0.1596259199215933,0.2,0.1416246958956331,0.2,0.1272767102393191,0.2,0.115569126700168,0.2,0.1058329484241593,0.2,0.090567841732119,0.2,0.07914562939427618,0.2,0.07027738557729518,0.2,0.0631929995013982,0.2,0.05740378616315452,0.2,0.05258462164358303,0.2,0.04851077489008065
0.21,0.2346059171858435,0.21,0.2145241020260597,0.21,0.1832109870898226,0.21,0.1598986650667832,0.21,0.1418552966189924,0.21,0.127469969085661,0.21,0.1157298983005074,0.21,0.105965683197186,0.21,0.09065572368516402,0.21,0.07920031214538049,0.21,0.07030735086240893,0.21,0.06320442438128362,0.21,0.0574012048328843,0.21,0.05257139655980167,0.21,0.04848942628946113
0.2200000000000001,0.2349422196778065,0.2200000000000001,0.2148412747040758,0.2200000000000001,0.1834796097945702,0.2200000000000001,0.1601173656321429,0.2200000000000001,0.1420281684791815,0.2200000000000001,0.1276025253707505,0.2200000000000001,0.1158276610316183,0.2200000000000001,0.1060336944993259,0.2200000000000001,0.09067689473914654,0.2200000000000001,0.07918771877017802,0.2200000000000001,0.07027042340331867,0.2200000000000001,0.06314995178974826,0.2200000000000001,0.05733410208029285,0.2200000000000001,0.05249525077945753,0.2200000000000001,0.0484068778758364
0.2300000000000001,0.2352233099428351,0.2300000000000001,0.2151001334940451,0.2300000000000001,0.1836834890952901,0.2300000000000001,0.160265503747585,0.2300000000000001,0.1421256262323553,0.2300000000000001,0.1276558223235421,0.2300000000000001,0.1158432481786201,0.2300000000000001,0.1060174250635585,0.2300000000000001,0.09061151538471124,0.2300000000000001,0.0790881783176736,0.2300000000000001,0.07014736719871779,0.2300000000000001,0.06301092805253379,0.2300000000000001,0.05718447940132714,0.2300000000000001,0.05233886800116499,0.2300000000000001,0.04824649494706416
0.2400000000000001,0.2354326912463891,0.2400000000000001,0.2152831367646147,0.2400000000000001,0.1838030123583801,0.2400000000000001,0.1603217252778166,0.2400000000000001,0.1421249950758783,0.2400000000000001,0.1276062627931586,0.2400000000000001,0.1157524813791377,0.2400000000000001,0.105892393165669,0.2400000000000001,0.09043510501241345,0.2400000000000001,0.07887773133153841,0.2400000000000001,0.06991502480443777,0.2400000000000001,0.06276513173269849,0.2400000000000001,0.05693109820127728,0.2400000000000001,0.05208198904979677,0.2400000000000001,0.04798896643538812
0.2500000000000001,0.2355490126206941,0.2500000000000001,0.2153676393326358,0.2500000000000001,0.1838130664378376,0.2500000000000001,0.1602589538094181,0.2500000000000001,0.1419978182121017,0.2500000000000001,0.1274245357988413,0.2500000000000001,0.1155256291172571,0.2500000000000001,0.1056287868400882,0.2500000000000001,0.09011839614686409,0.2500000000000001,0.07852821030507498,0.2500000000000001,0.06954658374321643,0.2500000000000001,0.06238718794896758,0.2500000000000001,0.05655000925284515,0.2500000000000001,0.05170202949365459,0.2500000000000001,0.04761298898862244
0.2600000000000001,0.2355451056493895,0.2600000000000001,0.2153249286207409,0.2600000000000001,0.1836821421995885,0.2600000000000001,0.1600436364996499,0.2600000000000001,0.1417092899772177,0.2600000000000001,0.1270752593667814,0.2600000000000001,0.1151272642048433,0.2600000000000001,0.1051915292515774,0.2600000000000001,0.08962777046367738,0.2600000000000001,0.07800797199329663,0.2600000000000001,0.0690125333016052,0.2600000000000001,0.06184968896372499,0.2600000000000001,0.05601578882045179,0.2600000000000001,0.05117539413154736,0.2600000000000001,0.04709663167860297
0.2700000000000001,0.2353870737935576,0.2700000000000001,0.2151193578850271,0.2700000000000001,0.1833716540374432,0.2700000000000001,0.1596353387265543,0.2700000000000001,0.1412181689768927,0.2700000000000001,0.1265172210944452,0.2700000000000001,0.1145168180123033,0.2700000000000001,0.1045411197229306,0.2700000000000001,0.08892657247169533,0.2700000000000001,0.07728355024573551,0.2700000000000001,0.06828254456097624,0.2700000000000001,0.06112521575939168,0.2700000000000001,0.05530363922825805,0.2700000000000001,0.05047961209265042,0.2700000000000001,0.04641947462999122
