pch18_Vdsat (ll=3.5e-07) X,pch18_Vdsat (ll=3.5e-07) Y,pch18_Vdsat (ll=4e-07) X,pch18_Vdsat (ll=4e-07) Y,pch18_Vdsat (ll=5e-07) X,pch18_Vdsat (ll=5e-07) Y,pch18_Vdsat (ll=6e-07) X,pch18_Vdsat (ll=6e-07) Y,pch18_Vdsat (ll=7e-07) X,pch18_Vdsat (ll=7e-07) Y,pch18_Vdsat (ll=8e-07) X,pch18_Vdsat (ll=8e-07) Y,pch18_Vdsat (ll=9e-07) X,pch18_Vdsat (ll=9e-07) Y,pch18_Vdsat (ll=1e-06) X,pch18_Vdsat (ll=1e-06) Y,pch18_Vdsat (ll=1.2e-06) X,pch18_Vdsat (ll=1.2e-06) Y,pch18_Vdsat (ll=1.4e-06) X,pch18_Vdsat (ll=1.4e-06) Y,pch18_Vdsat (ll=1.6e-06) X,pch18_Vdsat (ll=1.6e-06) Y,pch18_Vdsat (ll=1.8e-06) X,pch18_Vdsat (ll=1.8e-06) Y,pch18_Vdsat (ll=2e-06) X,pch18_Vdsat (ll=2e-06) Y,pch18_Vdsat (ll=2.2e-06) X,pch18_Vdsat (ll=2.2e-06) Y,pch18_Vdsat (ll=2.4e-06) X,pch18_Vdsat (ll=2.4e-06) Y
0.09999999999999999,-0.04750901342709952,0.09999999999999999,-0.04647817738718329,0.09999999999999999,-0.04492904652289292,0.09999999999999999,-0.04382420391763349,0.09999999999999999,-0.04299801260536341,0.09999999999999999,-0.04235739669631527,0.09999999999999999,-0.04184636754311147,0.09999999999999999,-0.04142932099108348,0.09999999999999999,-0.04078974555229658,0.09999999999999999,-0.04032239709198131,0.09999999999999999,-0.03996602135376322,0.09999999999999999,-0.03968531192236452,0.09999999999999999,-0.03945849522963508,0.09999999999999999,-0.03927141689216285,0.09999999999999999,-0.03911447841968425
0.11,-0.04750973255587761,0.11,-0.04647895542276957,0.11,-0.04492993970404493,0.11,-0.04382519785477026,0.11,-0.04299909173389741,0.11,-0.04235854762493441,0.11,-0.04184757937287549,0.11,-0.04143058495020187,0.11,-0.04079109381407837,0.11,-0.04032381038466117,0.11,-0.03996748621656808,0.11,-0.0396868186100365,0.11,-0.03946003647255568,0.11,-0.03927298713041361,0.11,-0.03911607331052842
0.12,-0.04751067905333927,0.12,-0.0464799807043776,0.12,-0.04493111851264885,0.12,-0.04382651082171364,0.12,-0.04300051808387675,0.12,-0.04236006951817204,0.12,-0.04184918229959787,0.12,-0.04143225723569764,0.12,-0.04079287826082414,0.12,-0.04032568134931427,0.12,-0.03996942578926801,0.12,-0.03968881382516329,0.12,-0.0394620776585892,0.12,-0.03927506689062042,0.12,-0.03911818586762295
0.13,-0.04751192426279875,0.13,-0.04648133119297958,0.13,-0.04493267354754865,0.13,-0.04382824435739462,0.13,-0.04300240240899822,0.13,-0.0423620808827496,0.13,-0.04185130140002549,0.13,-0.04143446854460794,0.13,-0.0407952386729343,0.13,-0.04032815676892725,0.13,-0.03997199240552691,0.13,-0.03969145440173751,0.13,-0.03946477933899582,0.13,-0.03927781984274337,0.13,-0.03912098241224589
0.14,-0.04751356168160583,0.14,-0.04648310916925793,0.14,-0.04493472381953088,0.14,-0.04383053193461046,0.14,-0.04300489035526638,0.14,-0.04236473760275651,0.14,-0.04185410123167421,0.14,-0.04143739085243891,0.14,-0.04079835901157921,0.14,-0.04033142984211529,0.14,-0.0399753865845739,0.14,-0.03969494679335157,0.14,-0.03946835286853255,0.14,-0.03928146145301095,0.14,-0.03912468190563072
0.15,-0.04751571373488354,0.15,-0.04648544869897725,0.15,-0.04493742550885677,0.15,-0.0438335488213513,0.15,-0.04300817324552648,0.15,-0.04236824449730144,0.15,-0.04185779804333845,0.15,-0.04144125018053645,0.15,-0.04080248108304186,0.15,-0.04033575453648587,0.15,-0.03997987192917096,0.15,-0.03969956241171135,0.15,-0.03947307610714203,0.15,-0.03928627498991012,0.15,-0.03912957221337143
0.16,-0.04751854056928995,0.16,-0.04648852533088898,0.16,-0.04494098334665912,0.16,-0.04383752489640712,0.16,-0.04301250209243182,0.16,-0.04237287033482239,0.16,-0.04186267563398478,0.16,-0.04144634317476373,0.16,-0.04080792227541432,0.16,-0.04034146421369035,0.16,-0.03998579445216818,0.16,-0.03970565752025172,0.16,-0.03947931378085745,0.16,-0.03929263227631358,0.16,-0.03913603118953107
0.17,-0.04752225144343273,0.17,-0.04649256866469202,0.17,-0.04494566536731311,0.17,-0.04384276125689362,0.17,-0.04301820575138699,0.17,-0.04237896727619442,0.17,-0.04186910588257032,0.17,-0.04145305856027512,0.17,-0.04081509849946351,0.17,-0.04034899570861329,0.17,-0.03999360755348134,0.17,-0.03971369893608496,0.17,-0.03948754378064717,0.17,-0.03930102048778641,0.17,-0.0391445538986266
0.18,-0.04752711944256716,0.18,-0.04649787859267072,0.18,-0.04495182197086218,0.18,-0.04384965166745804,0.18,-0.04302571435270094,0.18,-0.04238699595883005,0.18,-0.04187757522111456,0.18,-0.04146190479514614,0.18,-0.04082455373558377,0.18,-0.04035892032368215,0.18,-0.04000390415418192,0.18,-0.0397242970834432,0.18,-0.03949839097195106,0.18,-0.03931207659426553,0.18,-0.03915578759315504
0.19,-0.04753350042859469,0.19,-0.0465048462194128,0.19,-0.04495991046426548,0.19,-0.04385871015241952,0.19,-0.04303558942010115,0.19,-0.04239755771432104,0.19,-0.04188871861347908,0.19,-0.04147354554320657,0.19,-0.04083699789739902,0.19,-0.04037198351567346,0.19,-0.04001745781628955,0.19,-0.03973824826736379,0.19,-0.03951267041636868,0.19,-0.03932663137336417,0.19,-0.03917057639732766
