nch18_ft (ll=3.5e-07) X,nch18_ft (ll=3.5e-07) Y,nch18_ft (ll=4e-07) X,nch18_ft (ll=4e-07) Y,nch18_ft (ll=5e-07) X,nch18_ft (ll=5e-07) Y,nch18_ft (ll=6e-07) X,nch18_ft (ll=6e-07) Y,nch18_ft (ll=7e-07) X,nch18_ft (ll=7e-07) Y,nch18_ft (ll=8e-07) X,nch18_ft (ll=8e-07) Y,nch18_ft (ll=9e-07) X,nch18_ft (ll=9e-07) Y,nch18_ft (ll=1e-06) X,nch18_ft (ll=1e-06) Y,nch18_ft (ll=1.2e-06) X,nch18_ft (ll=1.2e-06) Y,nch18_ft (ll=1.4e-06) X,nch18_ft (ll=1.4e-06) Y,nch18_ft (ll=1.6e-06) X,nch18_ft (ll=1.6e-06) Y,nch18_ft (ll=1.8e-06) X,nch18_ft (ll=1.8e-06) Y,nch18_ft (ll=2e-06) X,nch18_ft (ll=2e-06) Y,nch18_ft (ll=2.2e-06) X,nch18_ft (ll=2.2e-06) Y,nch18_ft (ll=2.4e-06) X,nch18_ft (ll=2.4e-06) Y
0.3400000000000001,-235235901.5069117,0.3400000000000001,-199229163.7970211,0.3400000000000001,-154236183.9584815,0.3400000000000001,-124939575.303383,0.3400000000000001,-103523140.8161899,0.3400000000000001,-87107405.83197629,0.3400000000000001,-74207383.85574955,0.3400000000000001,-63896790.15464236,0.3400000000000001,-48691417.92005266,0.3400000000000001,-38257836.67237777,0.3400000000000001,-30819529.1726841,0.3400000000000001,-25343244.24355905,0.3400000000000001,-21200378.74965027,0.3400000000000001,-17993083.86412924,0.3400000000000001,-15460582.70245695
0.3500000000000001,-289320948.8610935,0.3500000000000001,-242971687.1092349,0.3500000000000001,-184961811.9300908,0.3500000000000001,-147660190.9039852,0.3500000000000001,-120922902.8487852,0.3500000000000001,-100822594.7578364,0.3500000000000001,-85288764.49540274,0.3500000000000001,-73041396.56941961,0.3500000000000001,-55246166.18509573,0.3500000000000001,-43208722.68823723,0.3500000000000001,-34705661.2881505,0.3500000000000001,-28483519.04276914,0.3500000000000001,-23795894.90540139,0.3500000000000001,-20177367.07905085,0.3500000000000001,-17326070.19901469
0.3600000000000002,-352011500.1073468,0.3600000000000002,-293093790.1108064,0.3600000000000002,-219515685.8658137,0.3600000000000002,-172921743.5406497,0.3600000000000002,-140167200.5828211,0.3600000000000002,-115975400.205772,0.3600000000000002,-97548835.35231644,0.3600000000000002,-83185935.96720393,0.3600000000000002,-62565736.78056203,0.3600000000000002,-48771908.10682155,0.3600000000000002,-39095084.49113999,0.3600000000000002,-32045094.01637178,0.3600000000000002,-26749108.35449979,0.3600000000000002,-22668932.88674977,0.3600000000000002,-19458202.9691704
0.3700000000000002,-423868258.6516503,0.3700000000000002,-349980587.682511,0.3700000000000002,-258176497.8431249,0.3700000000000002,-200993293.4481329,0.3700000000000002,-161519691.8907993,0.3700000000000002,-132813729.2805934,0.3700000000000002,-111212979.7298101,0.3700000000000002,-94531237.60593241,0.3700000000000002,-70805738.85577543,0.3700000000000002,-55067644.39635041,0.3700000000000002,-44081828.40919683,0.3700000000000002,-36102667.94198389,0.3700000000000002,-30120324.91833616,0.3700000000000002,-25517208.06993717,0.3700000000000002,-21898050.93360275
0.3800000000000002,-505514127.8368061,0.3800000000000002,-414119142.1069162,0.3800000000000002,-301348697.8405718,0.3800000000000002,-232250902.1325471,0.3800000000000002,-185322406.3519913,0.3800000000000002,-151639044.3401272,0.3800000000000002,-126541840.7289664,0.3800000000000002,-107300682.6340343,0.3800000000000002,-80129789.34641111,0.3800000000000002,-62217400.65615365,0.3800000000000002,-49757899.87771299,0.3800000000000002,-40727373.88405647,0.3800000000000002,-33965595.08477251,0.3800000000000002,-28767119.96205893,0.3800000000000002,-24682177.71542696
0.3900000000000002,-597702479.5509695,0.3900000000000002,-486147733.4294548,0.3900000000000002,-349573471.8739041,0.3900000000000002,-267167371.6230554,0.3900000000000002,-211978171.690565,0.3900000000000002,-172788002.2258618,0.3900000000000002,-143814415.3148152,0.3900000000000002,-121725218.5500036,0.3900000000000002,-90697851.17296053,0.3900000000000002,-70334540.46407183,0.3900000000000002,-56205626.60052878,0.3900000000000002,-45980371.21316732,0.3900000000000002,-38331278.36214497,0.3900000000000002,-32454438.12157942,0.3900000000000002,-27838614.62802738
0.4000000000000002,-701363510.8215523,0.4000000000000002,-566877111.3953327,0.4000000000000002,-403515222.6884243,0.4000000000000002,-306286369.0648193,0.4000000000000002,-241923630.6969961,0.4000000000000002,-196607967.1224432,0.4000000000000002,-163306649.9481965,0.4000000000000002,-138024745.2248636,0.4000000000000002,-102651922.7382236,0.4000000000000002,-79513041.73588696,0.4000000000000002,-63488604.16189434,0.4000000000000002,-51905483.83159584,0.4000000000000002,-43247991.93883687,0.4000000000000002,-36600752.35654443,0.4000000000000002,-31382656.0393176
0.4100000000000002,-817613792.8834928,0.4100000000000002,-657276687.6979911,0.4100000000000002,-463924690.4827739,0.4100000000000002,-350182861.4812313,0.4100000000000002,-275593758.9029583,0.4100000000000002,-223426634.2735901,0.4100000000000002,-185265632.3287015,0.4100000000000002,-156386118.7759613,0.4100000000000002,-116099821.1522233,0.4100000000000002,-89815349.74975443,0.4100000000000002,-71642488.4028471,0.4100000000000002,-58522148.66656864,0.4100000000000002,-48725158.99201599,0.4100000000000002,-41209220.4164677,0.4100000000000002,-35313515.33843084
0.4200000000000002,-947721864.731658,0.4200000000000002,-758424614.2566997,0.4200000000000002,-531581367.3743535,0.4200000000000002,-399411843.9182114,0.4200000000000002,-313379259.4034001,0.4200000000000002,-253517162.6845914,0.4200000000000002,-209881085.4599226,0.4200000000000002,-176939806.5433178,0.4200000000000002,-131099459.2934613,0.4200000000000002,-101261765.3423483,0.4200000000000002,-80667844.43124563,0.4200000000000002,-65820626.75880614,0.4200000000000002,-54747845.00842939,0.4200000000000002,-46262531.5800199,0.4200000000000002,-39613076.1704589
0.4300000000000002,-1093030227.385952,0.4300000000000002,-871425354.1747609,0.4300000000000002,-607219508.8972113,0.4300000000000002,-454449062.6836994,0.4300000000000002,-355580570.7862211,0.4300000000000002,-287062853.214956,0.4300000000000002,-237258411.5329712,0.4300000000000002,-199739462.7340081,0.4300000000000002,-147647489.8811776,0.4300000000000002,-113824593.8430646,0.4300000000000002,-90527627.14200442,0.4300000000000002,-73761490.68954544,0.4300000000000002,-61277442.02795026,0.4300000000000002,-51724289.47124857,0.4300000000000002,-44247665.577823
0.4400000000000002,-1254841313.606364,0.4400000000000002,-997303170.5784357,0.4400000000000002,-691445510.529114,0.4400000000000002,-515631108.532341,0.4400000000000002,-402365759.9853857,0.4400000000000002,-324128360.8235475,0.4400000000000002,-267399728.479443,0.4400000000000002,-224750151.5402865,0.4400000000000002,-165676505.4790808,0.4400000000000002,-127429920.9898014,0.4400000000000002,-101151162.7736243,0.4400000000000002,-82280548.53176355,0.4400000000000002,-68256869.41999917,0.4400000000000002,-57544146.62065659,0.4400000000000002,-49172953.75824825
0.4500000000000002,-1434282875.564145,0.4500000000000002,-1136886122.353794,0.4500000000000002,-784659441.721303,0.4500000000000002,-583106348.4424821,0.4500000000000002,-453742334.0185415,0.4500000000000002,-364645827.7894933,0.4500000000000002,-300199601.5413862,0.4500000000000002,-251850361.2339344,0.4500000000000002,-185063472.4304532,0.4500000000000002,-141968090.3300642,0.4500000000000002,-112444741.2418514,0.4500000000000002,-91298763.85741295,0.4500000000000002,-75619555.21665587,0.4500000000000002,-63665811.64919513,0.4500000000000002,-54341047.69265261
0.4600000000000002,-1632176229.583895,0.4600000000000002,-1290701571.583404,0.4600000000000002,-886997632.353683,0.4600000000000002,-656809916.8343843,0.4600000000000002,-509552683.7249997,0.4600000000000002,-408422524.9889633,0.4600000000000002,-335459489.4675666,0.4600000000000002,-280849848.924364,0.4600000000000002,-205648950.7323574,0.4600000000000002,-157311270.2105896,0.4600000000000002,-124306765.7898947,0.4600000000000002,-100735039.1559128,0.4600000000000002,-83300154.94229722,0.4600000000000002,-70036045.1836127,0.4600000000000002,-59708074.40613765
0.4700000000000003,-1848935862.667255,0.4700000000000003,-1458907392.377581,0.4700000000000003,-998312909.4320804,0.4700000000000003,-736472944.8831596,0.4700000000000003,-569498229.9197094,0.4700000000000003,-455171352.7032507,0.4700000000000003,-372919762.6877722,0.4700000000000003,-311520628.3918852,0.4700000000000003,-227263133.7927494,0.4700000000000003,-173334092.6672426,0.4700000000000003,-136643839.819503,0.4700000000000003,-110518751.7322814,0.4700000000000003,-91244386.67250471,0.4700000000000003,-76612450.71820113,0.4700000000000003,-65240418.34934999
0.4800000000000003,-2084526799.183003,0.4800000000000003,-1641279158.111328,0.4800000000000003,-1118202200.653705,0.4800000000000003,-821668054.1635382,0.4800000000000003,-633189400.46944,0.4800000000000003,-504558637.558612,0.4800000000000003,-412302543.9622996,0.4800000000000003,-343634090.2807655,0.4800000000000003,-249752467.0849509,0.4800000000000003,-189932370.9592479,0.4800000000000003,-149383948.8095217,0.4800000000000003,-120599122.848605,0.4800000000000003,-99415766.65113424,0.4800000000000003,-83368371.82434359,0.4800000000000003,-70918317.8911195
