nch18_Cgd_Cgg (ll=4e-07) X,nch18_Cgd_Cgg (ll=4e-07) Y,nch18_Cgd_Cgg (ll=5e-07) X,nch18_Cgd_Cgg (ll=5e-07) Y,nch18_Cgd_Cgg (ll=6e-07) X,nch18_Cgd_Cgg (ll=6e-07) Y,nch18_Cgd_Cgg (ll=7e-07) X,nch18_Cgd_Cgg (ll=7e-07) Y,nch18_Cgd_Cgg (ll=8e-07) X,nch18_Cgd_Cgg (ll=8e-07) Y,nch18_Cgd_Cgg (ll=9e-07) X,nch18_Cgd_Cgg (ll=9e-07) Y,nch18_Cgd_Cgg (ll=1e-06) X,nch18_Cgd_Cgg (ll=1e-06) Y,nch18_Cgd_Cgg (ll=1.2e-06) X,nch18_Cgd_Cgg (ll=1.2e-06) Y,nch18_Cgd_Cgg (ll=1.4e-06) X,nch18_Cgd_Cgg (ll=1.4e-06) Y,nch18_Cgd_Cgg (ll=1.6e-06) X,nch18_Cgd_Cgg (ll=1.6e-06) Y,nch18_Cgd_Cgg (ll=1.8e-06) X,nch18_Cgd_Cgg (ll=1.8e-06) Y,nch18_Cgd_Cgg (ll=2e-06) X,nch18_Cgd_Cgg (ll=2e-06) Y,nch18_Cgd_Cgg (ll=2.2e-06) X,nch18_Cgd_Cgg (ll=2.2e-06) Y,nch18_Cgd_Cgg (ll=2.4e-06) X,nch18_Cgd_Cgg (ll=2.4e-06) Y,nch18_Cgd_Cgg (ll=3.5e-07) X,nch18_Cgd_Cgg (ll=3.5e-07) Y
0.2,-0.21415773556113,0.2,-0.1828897982754797,0.2,-0.1596230547240644,0.2,-0.1416215938997173,0.2,-0.1272733473765588,0.2,-0.1155655188058596,0.2,-0.1058291165603066,0.2,-0.09056361993428917,0.2,-0.07914108196557752,0.2,-0.0702725634849477,0.2,-0.06318794342221665,0.2,-0.05739852888743451,0.2,-0.05257918988191661,0.2,-0.04850519062323512,0.2,-0.2342202250886861
0.21,-0.2145194212103028,0.21,-0.1832077861906662,0.21,-0.1598954606716172,0.21,-0.1418518234289515,0.21,-0.1274662017921003,0.21,-0.1157258549393476,0.21,-0.1059613874504809,0.21,-0.09065098833968811,0.21,-0.07919520950769891,0.21,-0.07030193830111668,0.21,-0.06319874771851339,0.21,-0.05739530102918795,0.21,-0.05256529573689756,0.21,-0.04848315324414726,0.21,-0.234598566473967
0.2200000000000001,-0.2148361108489238,0.2200000000000001,-0.1834760410474579,0.2200000000000001,-0.1601137806037467,0.2200000000000001,-0.1420242786446373,0.2200000000000001,-0.1275983037828934,0.2200000000000001,-0.1158231281548081,0.2200000000000001,-0.1060288769692133,0.2200000000000001,-0.09067158120438149,0.2200000000000001,-0.07918199064149267,0.2200000000000001,-0.07026434534232182,0.2200000000000001,-0.06314357548347224,0.2200000000000001,-0.05732746924232499,0.2200000000000001,-0.05248839541764441,0.2200000000000001,-0.04839982799311469,0.2200000000000001,-0.2349341650046212
0.2300000000000001,-0.2150944162619717,0.2300000000000001,-0.1836795048109738,0.2300000000000001,-0.1602614905713197,0.2300000000000001,-0.1421212678221513,0.2300000000000001,-0.1276510895015794,0.2300000000000001,-0.1158381640834356,0.2300000000000001,-0.1060120196746475,0.2300000000000001,-0.09060554997470908,0.2300000000000001,-0.07908174469495742,0.2300000000000001,-0.07014053835824673,0.2300000000000001,-0.06300376237922443,0.2300000000000001,-0.05717702403110436,0.2300000000000001,-0.05233116136936079,0.2300000000000001,-0.04823856870412525,0.2300000000000001,-0.2352144422563045
0.2400000000000001,-0.2152767789417502,0.2400000000000001,-0.183798556571008,0.2400000000000001,-0.1603172293405995,0.2400000000000001,-0.1421201086783984,0.2400000000000001,-0.127600953684046,0.2400000000000001,-0.1157467756391997,0.2400000000000001,-0.1058863245791549,0.2400000000000001,-0.09042840390836146,0.2400000000000001,-0.07887050143757475,0.2400000000000001,-0.06990734865883493,0.2400000000000001,-0.06275707537588791,0.2400000000000001,-0.05692271495239747,0.2400000000000001,-0.05207332238058097,0.2400000000000001,-0.04798005213530982,0.2400000000000001,-0.2354228713723563
0.2500000000000001,-0.2153605325170218,0.2500000000000001,-0.1838080732757184,0.2500000000000001,-0.1602539122661444,0.2500000000000001,-0.141992335858119,0.2500000000000001,-0.1274185761506618,0.2500000000000001,-0.1155192214953699,0.2500000000000001,-0.1056219693818976,0.2500000000000001,-0.09011086439772734,0.2500000000000001,-0.07852008169658428,0.2500000000000001,-0.06953795175306152,0.2500000000000001,-0.06237812736051512,0.2500000000000001,-0.05654058041945378,0.2500000000000001,-0.0516922815948929,0.2500000000000001,-0.04760296248782293,0.2500000000000001,-0.2355380629396135
0.2600000000000001,-0.2153169381572672,0.2600000000000001,-0.1836765340517269,0.2600000000000001,-0.1600379770575381,0.2600000000000001,-0.1417031340323221,0.2600000000000001,-0.1270685646588049,0.2600000000000001,-0.1151200636304429,0.2600000000000001,-0.1051838659559965,0.2600000000000001,-0.08961930120357624,0.2600000000000001,-0.07799882997966219,0.2600000000000001,-0.06900282453937272,0.2600000000000001,-0.06183949819003703,0.2600000000000001,-0.05600518435184346,0.2600000000000001,-0.05116443157487498,0.2600000000000001,-0.04708535673428432,0.2600000000000001,-0.2355328001885913
0.2700000000000001,-0.2151103171350723,0.2700000000000001,-0.1833653395765485,0.2700000000000001,-0.1596289784080444,0.2700000000000001,-0.1412112510798162,0.2700000000000001,-0.1265096955791559,0.2700000000000001,-0.1145087217390137,0.2700000000000001,-0.1045325016239483,0.2700000000000001,-0.08891704651061413,0.2700000000000001,-0.07727326778784697,0.2700000000000001,-0.06827162590352601,0.2700000000000001,-0.06111375690301851,0.2700000000000001,-0.0552917174320937,0.2700000000000001,-0.0504672901313812,0.2700000000000001,-0.04640680400791926,0.2700000000000001,-0.2353731268393382
0.2800000000000001,-0.2146974810120839,0.2800000000000001,-0.1828286048119757,0.2800000000000001,-0.1589798368974739,0.2800000000000001,-0.140469726389577,0.2800000000000001,-0.125696098686549,0.2800000000000001,-0.1136410658898738,0.2800000000000001,-0.1036258799907783,0.2800000000000001,-0.08796685124030207,0.2800000000000001,-0.07631085886917045,0.2800000000000001,-0.06731611875184752,0.2800000000000001,-0.06017643656898607,0.2800000000000001,-0.05437895703894934,0.2800000000000001,-0.04958240298190728,0.2800000000000001,-0.04555120576845387,0.2800000000000001,-0.2350176597500768
0.2900000000000001,-0.2140277469969217,0.2900000000000001,-0.1820137691914781,0.2900000000000001,-0.158038116212088,0.2900000000000001,-0.1394278075594333,0.2900000000000001,-0.1245797317560743,0.2900000000000001,-0.1124723457433124,0.2900000000000001,-0.1024227997584604,0.2900000000000001,-0.08673458804871882,0.2900000000000001,-0.07508386235569778,0.2900000000000001,-0.06611400016134196,0.2900000000000001,-0.05900974155214899,0.2900000000000001,-0.05325279945003589,0.2900000000000001,-0.04849867809997116,0.2900000000000001,-0.04450992687475103,0.2900000000000001,-0.234417380881746
