nch18_Vdsat (ll=3.5e-07) X,nch18_Vdsat (ll=3.5e-07) Y,nch18_Vdsat (ll=4e-07) X,nch18_Vdsat (ll=4e-07) Y,nch18_Vdsat (ll=5e-07) X,nch18_Vdsat (ll=5e-07) Y,nch18_Vdsat (ll=6e-07) X,nch18_Vdsat (ll=6e-07) Y,nch18_Vdsat (ll=7e-07) X,nch18_Vdsat (ll=7e-07) Y,nch18_Vdsat (ll=8e-07) X,nch18_Vdsat (ll=8e-07) Y,nch18_Vdsat (ll=9e-07) X,nch18_Vdsat (ll=9e-07) Y,nch18_Vdsat (ll=1e-06) X,nch18_Vdsat (ll=1e-06) Y,nch18_Vdsat (ll=1.2e-06) X,nch18_Vdsat (ll=1.2e-06) Y,nch18_Vdsat (ll=1.4e-06) X,nch18_Vdsat (ll=1.4e-06) Y,nch18_Vdsat (ll=1.6e-06) X,nch18_Vdsat (ll=1.6e-06) Y,nch18_Vdsat (ll=1.8e-06) X,nch18_Vdsat (ll=1.8e-06) Y,nch18_Vdsat (ll=2e-06) X,nch18_Vdsat (ll=2e-06) Y,nch18_Vdsat (ll=2.2e-06) X,nch18_Vdsat (ll=2.2e-06) Y,nch18_Vdsat (ll=2.4e-06) X,nch18_Vdsat (ll=2.4e-06) Y
0.3300000000000001,0.04911418802640148,0.3300000000000001,0.04826045894779352,0.3300000000000001,0.04690235362318124,0.3300000000000001,0.04588659739100749,0.3300000000000001,0.04510804865836173,0.3300000000000001,0.04449781235292622,0.3300000000000001,0.04401007909890916,0.3300000000000001,0.04361361274144456,0.3300000000000001,0.04301327821356049,0.3300000000000001,0.04258512761495865,0.3300000000000001,0.04226772224956597,0.3300000000000001,0.04202494165954794,0.3300000000000001,0.04183438879558615,0.3300000000000001,0.04168155778540607,0.3300000000000001,0.04155670614038125
0.3400000000000001,0.04925948984554596,0.3400000000000001,0.04841625995731783,0.3400000000000001,0.04708392309994193,0.3400000000000001,0.04609633095767407,0.3400000000000001,0.04534626009584845,0.3400000000000001,0.04476387273868932,0.3400000000000001,0.04430289157554206,0.3400000000000001,0.04393185450488483,0.3400000000000001,0.04337813006156731,0.3400000000000001,0.04299106430535935,0.3400000000000001,0.04270974131909502,0.3400000000000001,0.04249867671148974,0.3400000000000001,0.04233608671576793,0.3400000000000001,0.04220801031419705,0.3400000000000001,0.04210517217544321
0.3500000000000001,0.04944838223726565,0.3500000000000001,0.04861891728282454,0.3500000000000001,0.04731998745672065,0.3500000000000001,0.04636861271683508,0.3500000000000001,0.04565493844421624,0.3500000000000001,0.04510795362268757,0.3500000000000001,0.04468081612062843,0.3500000000000001,0.04434180684380232,0.3500000000000001,0.04384644214034138,0.3500000000000001,0.04351046221601704,0.3500000000000001,0.04327373948871951,0.3500000000000001,0.04310167839734515,0.3500000000000001,0.04297332472331716,0.3500000000000001,0.04287543993546851,0.3500000000000001,0.04279935946259326
0.3600000000000002,0.04969257415013718,0.3600000000000002,0.04888100233739105,0.3600000000000002,0.0476249831733294,0.3600000000000002,0.04671970530919431,0.3600000000000002,0.04605202736741961,0.3600000000000002,0.04554950340975149,0.3600000000000002,0.04516462858106691,0.3600000000000002,0.04486540749234364,0.3600000000000002,0.04444204685547279,0.3600000000000002,0.04416858973972697,0.3600000000000002,0.04398607839363187,0.3600000000000002,0.04386114733437433,0.3600000000000002,0.0437739532219649,0.3600000000000002,0.04371220498577297,0.3600000000000002,0.04366802689900053
0.3700000000000002,0.05000624211924466,0.3700000000000002,0.04921770319505583,0.3700000000000002,0.04801621789680232,0.3700000000000002,0.04716892131535729,0.3700000000000002,0.04655862449709396,0.3700000000000002,0.04611116443145451,0.3700000000000002,0.04577828744605742,0.3700000000000002,0.04552772634722847,0.3700000000000002,0.04519172933104969,0.3700000000000002,0.04499343060937867,0.3700000000000002,0.04487557543204604,0.3700000000000002,0.04480647817951628,0.3700000000000002,0.04476776343047912,0.3700000000000002,0.04474836509914134,0.3700000000000002,0.04474141100554251
0.3800000000000002,0.05040623292518082,0.3800000000000002,0.04964701382196875,0.3800000000000002,0.04851399566459777,0.3800000000000002,0.04773865070208928,0.3800000000000002,0.04719889118037549,0.3800000000000002,0.04681855528905118,0.3800000000000002,0.04654858630791349,0.3800000000000002,0.04635649038152867,0.3800000000000002,0.04612451488207307,0.3800000000000002,0.04601476458617452,0.3800000000000002,0.0459724090149749,0.3800000000000002,0.045968017639235,0.3800000000000002,0.04598512217246728,0.3800000000000002,0.04601421273269887,0.3800000000000002,0.04604967059070565
0.3900000000000002,0.05091213405128532,0.3900000000000002,0.05018976873689127,0.3900000000000002,0.04914153386224769,0.3900000000000002,0.04845412415852294,0.3900000000000002,0.04799964666655021,0.3900000000000002,0.04769969362745406,0.3900000000000002,0.04750441118541444,0.3900000000000002,0.04738118612590925,0.3900000000000002,0.04727050102714313,0.3900000000000002,0.04726278168914387,0.3900000000000002,0.0473065611061878,0.3900000000000002,0.04737537279193072,0.3900000000000002,0.04745517549212275,0.3900000000000002,0.04753839501552972,0.3900000000000002,0.04762094459738556
0.4000000000000002,0.05154614550986668,0.4000000000000002,0.05086945081086018,0.4000000000000002,0.04992459227768212,0.4000000000000002,0.04934283251931249,0.4000000000000002,0.04898957379105507,0.4000000000000002,0.04878399904031609,0.4000000000000002,0.048675559262887,0.4000000000000002,0.04863171585538834,0.4000000000000002,0.04865925293560178,0.4000000000000002,0.04876629142372681,0.4000000000000002,0.04890589776609646,0.4000000000000002,0.04905540526626443,0.4000000000000002,0.04920378693201986,0.4000000000000002,0.04934581784871313,0.4000000000000002,0.04947923744691311
0.4100000000000002,0.05233268842232176,0.4100000000000002,0.05171170474859341,0.4100000000000002,0.05089074976151475,0.4100000000000002,0.05043355149651881,0.4100000000000002,0.05019800749109533,0.4100000000000002,0.05010087505516268,0.4100000000000002,0.05009114848376447,0.4100000000000002,0.05013666824777643,0.4100000000000002,0.05031788307188326,0.4100000000000002,0.05055070002299387,0.4100000000000002,0.05079410384775222,0.4100000000000002,0.05103016205788764,0.4100000000000002,0.05125148865870963,0.4100000000000002,0.05145563195326882,0.4100000000000002,0.05164244838626788
0.4200000000000002,0.05329770355276255,0.4200000000000002,0.05274351236626413,0.4200000000000002,0.05206830332604109,0.4200000000000002,0.051754978031855,0.4200000000000002,0.05165335127928781,0.4200000000000002,0.0516779568190922,0.4200000000000002,0.0517777454408419,0.4200000000000002,0.05192136902209794,0.4200000000000002,0.05226904471221029,0.4200000000000002,0.05263603276205502,0.4200000000000002,0.0529887817924393,0.4200000000000002,0.05331507455449765,0.4200000000000002,0.05361179030370499,0.4200000000000002,0.05387965303930147,0.4200000000000002,0.05412090007294263
