pch18_Vgs_Vth (ll=3.5e-07) X,pch18_Vgs_Vth (ll=3.5e-07) Y,pch18_Vgs_Vth (ll=4e-07) X,pch18_Vgs_Vth (ll=4e-07) Y,pch18_Vgs_Vth (ll=5e-07) X,pch18_Vgs_Vth (ll=5e-07) Y,pch18_Vgs_Vth (ll=6e-07) X,pch18_Vgs_Vth (ll=6e-07) Y,pch18_Vgs_Vth (ll=7e-07) X,pch18_Vgs_Vth (ll=7e-07) Y,pch18_Vgs_Vth (ll=8e-07) X,pch18_Vgs_Vth (ll=8e-07) Y,pch18_Vgs_Vth (ll=9e-07) X,pch18_Vgs_Vth (ll=9e-07) Y,pch18_Vgs_Vth (ll=1e-06) X,pch18_Vgs_Vth (ll=1e-06) Y,pch18_Vgs_Vth (ll=1.2e-06) X,pch18_Vgs_Vth (ll=1.2e-06) Y,pch18_Vgs_Vth (ll=1.4e-06) X,pch18_Vgs_Vth (ll=1.4e-06) Y,pch18_Vgs_Vth (ll=1.6e-06) X,pch18_Vgs_Vth (ll=1.6e-06) Y,pch18_Vgs_Vth (ll=1.8e-06) X,pch18_Vgs_Vth (ll=1.8e-06) Y,pch18_Vgs_Vth (ll=2e-06) X,pch18_Vgs_Vth (ll=2e-06) Y,pch18_Vgs_Vth (ll=2.2e-06) X,pch18_Vgs_Vth (ll=2.2e-06) Y,pch18_Vgs_Vth (ll=2.4e-06) X,pch18_Vgs_Vth (ll=2.4e-06) Y
0.21,0.3517991954260131,0.21,0.3452861639518547,0.21,0.3354442112761551,0.21,0.3284981547359568,0.21,0.3233840842687291,0.21,0.3194766035861485,0.21,0.3163981618033368,0.21,0.3139114249595767,0.21,0.3101415833267585,0.21,0.3074197198251344,0.21,0.3053628333854973,0.21,0.3037544647571893,0.21,0.3024629595562399,0.21,0.3014035911305042,0.21,0.3005193412343948
0.2200000000000001,0.3417991954866521,0.2200000000000001,0.3352861640070033,0.2200000000000001,0.3254442113245123,0.2200000000000001,0.3184981547795328,0.2200000000000001,0.3133840843084414,0.2200000000000001,0.3094766036226079,0.2200000000000001,0.3063981618370132,0.2200000000000001,0.3039114249908461,0.2200000000000001,0.3001415833540867,0.2200000000000001,0.2974197198493814,0.2200000000000001,0.2953628334072755,0.2200000000000001,0.293754464776947,0.2200000000000001,0.2924629595743158,0.2200000000000001,0.2914035911471601,0.2200000000000001,0.2905193412498341
0.2300000000000001,0.3317991955658542,0.2300000000000001,0.3252861640790985,0.2300000000000001,0.3154442113877886,0.2300000000000001,0.3084981548365795,0.2300000000000001,0.3033840843604414,0.2300000000000001,0.2994766036703554,0.2300000000000001,0.2963981618811184,0.2300000000000001,0.2939114250318033,0.2300000000000001,0.2901415833898831,0.2300000000000001,0.2874197198811409,0.2300000000000001,0.2853628334357992,0.2300000000000001,0.2837544648028245,0.2300000000000001,0.2824629595979907,0.2300000000000001,0.2814035911689722,0.2300000000000001,0.2805193412700548
0.2400000000000001,0.3217991956691673,0.2400000000000001,0.3152861641732239,0.2400000000000001,0.3054442114704735,0.2400000000000001,0.2984981549111507,0.2400000000000001,0.2933840844284271,0.2400000000000001,0.2894766037327844,0.2400000000000001,0.2863981619387873,0.2400000000000001,0.2839114250853539,0.2400000000000001,0.2801415834366854,0.2400000000000001,0.277419719922663,0.2400000000000001,0.2753628334730895,0.2400000000000001,0.2737544648366532,0.2400000000000001,0.272462959628939,0.2400000000000001,0.2714035911974856,0.2400000000000001,0.2705193412964866
0.2500000000000001,0.3117991958037425,0.2500000000000001,0.3052861642959301,0.2500000000000001,0.295444211578345,0.2500000000000001,0.2884981550084639,0.2500000000000001,0.2833840845171549,0.2500000000000001,0.2794766038142628,0.2500000000000001,0.2763981620140524,0.2500000000000001,0.2739114251552394,0.2500000000000001,0.2701415834977564,0.2500000000000001,0.2674197199768413,0.2500000000000001,0.2653628335217419,0.2500000000000001,0.2637544648807866,0.2500000000000001,0.2624629596693097,0.2500000000000001,0.2614035912346792,0.2500000000000001,0.2605193413309609
0.2600000000000001,0.301799195978762,0.2600000000000001,0.2952861644556291,0.2600000000000001,0.2854442117188263,0.2600000000000001,0.2784981551352177,0.2600000000000001,0.2733840846327258,0.2600000000000001,0.269476603920384,0.2600000000000001,0.2663981621120722,0.2600000000000001,0.2639114252462477,0.2600000000000001,0.2601415835772737,0.2600000000000001,0.2574197200473702,0.2600000000000001,0.2553628335850698,0.2600000000000001,0.2537544649382246,0.2600000000000001,0.252462959721846,0.2600000000000001,0.2514035912830772,0.2600000000000001,0.2505193413758199
0.2700000000000001,0.2917991962059752,0.2700000000000001,0.2852861646630901,0.2700000000000001,0.2754442119014096,0.2700000000000001,0.2684981552999667,0.2700000000000001,0.2633840847829284,0.2700000000000001,0.259476604058289,0.2700000000000001,0.256398162239429,0.2700000000000001,0.253911425364481,0.2700000000000001,0.2501415836805523,0.2700000000000001,0.2474197201389556,0.2700000000000001,0.2453628336672885,0.2700000000000001,0.2437544650127876,0.2700000000000001,0.2424629597900381,0.2700000000000001,0.2414035913458913,0.2700000000000001,0.2405193414340339
0.2800000000000001,0.2817991965003557,0.2800000000000001,0.2752861649320318,0.2800000000000001,0.2654442121381817,0.2800000000000001,0.2584981555136011,0.2800000000000001,0.2533840849776624,0.2800000000000001,0.2494766042370405,0.2800000000000001,0.2463981624044794,0.2800000000000001,0.2439114255176728,0.2800000000000001,0.2401415838143268,0.2800000000000001,0.2374197202575542,0.2800000000000001,0.235362833773735,0.2800000000000001,0.2337544651093023,0.2800000000000001,0.2324629598782947,0.2800000000000001,0.2314035914271734,0.2800000000000001,0.2305193415093567
0.2900000000000001,0.2717991968809144,0.2900000000000001,0.2652861652798709,0.2900000000000001,0.2554442124444632,0.2900000000000001,0.2484981557898924,0.2900000000000001,0.243384085229443,0.2900000000000001,0.2394766044680893,0.2900000000000001,0.2363981626177589,0.2900000000000001,0.2339114257155839,0.2900000000000001,0.2301415839870765,0.2900000000000001,0.2274197204106539,0.2900000000000001,0.2253628339111133,0.2900000000000001,0.2237544652338349,0.2900000000000001,0.22246295999215,0.2900000000000001,0.2214035915320184,0.2900000000000001,0.2205193416064993
0.3000000000000001,0.2617991973716495,0.3000000000000001,0.2552861657285874,0.3000000000000001,0.2454442128395666,0.3000000000000001,0.2384981561461909,0.3000000000000001,0.2333840855539976,0.3000000000000001,0.2294766047658096,0.3000000000000001,0.2263981628924869,0.3000000000000001,0.2239114259704391,0.3000000000000001,0.2201415842094208,0.3000000000000001,0.2174197206076284,0.3000000000000001,0.2153628340878008,0.3000000000000001,0.2137544653939621,0.3000000000000001,0.2124629601385137,0.3000000000000001,0.2114035916667742,0.3000000000000001,0.2105193417313371
0.3100000000000001,0.251799198002715,0.3100000000000001,0.2452861663057806,0.3100000000000001,0.2354442133476977,0.3100000000000001,0.2284981566041894,0.3100000000000001,0.2233840859709805,0.3100000000000001,0.2194766051481324,0.3100000000000001,0.2163981632451404,0.3100000000000001,0.2139114262974612,0.3100000000000001,0.2101415844945512,0.3100000000000001,0.2074197208601081,0.3100000000000001,0.205362834314193,0.3100000000000001,0.2037544655990704,0.3100000000000001,0.2024629603259475,0.3100000000000001,0.2014035918393062,0.3100000000000001,0.2005193418911404
0.3200000000000001,0.2417991988117546,0.3200000000000001,0.235286167045886,0.3200000000000001,0.2254442139989954,0.3200000000000001,0.2184981571908514,0.3200000000000001,0.2133840865047635,0.3200000000000001,0.2094766056372717,0.3200000000000001,0.2063981636960948,0.3200000000000001,0.2039114267154601,0.3200000000000001,0.2001415848587512,0.3200000000000001,0.1974197211824246,0.3200000000000001,0.1953628346030811,0.3200000000000001,0.1937544658607059,0.3200000000000001,0.1924629605649688,0.3200000000000001,0.1914035920592718,0.3200000000000001,0.1905193420948385
0.3300000000000001,0.2317991998454733,0.3300000000000001,0.2252861679915966,0.3300000000000001,0.2154442148307337,0.3300000000000001,0.2084981579394386,0.3300000000000001,0.2033840871853592,0.3300000000000001,0.1994766062605258,0.3300000000000001,0.1963981642703618,0.3300000000000001,0.1939114272474957,0.3300000000000001,0.1901415853219343,0.3300000000000001,0.1874197215920863,0.3300000000000001,0.1853628349700747,0.3300000000000001,0.1837544661929494,0.3300000000000001,0.182462960868392,0.3300000000000001,0.1814035923384266,0.3300000000000001,0.1805193423532863
0.3400000000000001,0.2217992011613902,0.3400000000000001,0.2152861691954429,0.3400000000000001,0.2054442158886494,0.3400000000000001,0.1984981588906637,0.3400000000000001,0.1933840880494065,0.3400000000000001,0.1894766070511604,0.3400000000000001,0.1863981649983709,0.3400000000000001,0.18391142792158,0.3400000000000001,0.1801415859082437,0.3400000000000001,0.1774197221102775,0.3400000000000001,0.1753628354340327,0.3400000000000001,0.1737544666127858,0.3400000000000001,0.1724629612516686,0.3400000000000001,0.1714035926909374,0.3400000000000001,0.1705193426795637
0.3500000000000001,0.2117992028298048,0.3500000000000001,0.2052861707215454,0.3500000000000001,0.1954442172284009,0.3500000000000001,0.1884981600939007,0.3500000000000001,0.1833840891412339,0.3500000000000001,0.1794766080493269,0.3500000000000001,0.1763981659167722,0.3500000000000001,0.1739114287714024,0.3500000000000001,0.1701415866466292,0.3500000000000001,0.1674197227623523,0.3500000000000001,0.1653628360174914,0.3500000000000001,0.1637544671404848,0.3500000000000001,0.1624629617332125,0.3500000000000001,0.1614035931336728,0.3500000000000001,0.1605193430892277
0.3600000000000002,0.2017992049358935,0.3600000000000002,0.1952861726474999,0.3600000000000002,0.1854442189170716,0.3600000000000002,0.1784981616084507,0.3600000000000002,0.1733840905138964,0.3600000000000002,0.1694766093029558,0.3600000000000002,0.1663981670692181,0.3600000000000002,0.1639114298370018,0.3600000000000002,0.1601415875713919,0.3600000000000002,0.1574197235782722,0.3600000000000002,0.1553628367470281,0.3600000000000002,0.1537544677999185,0.3600000000000002,0.1524629623346813,0.3600000000000002,0.151403593686446,0.3600000000000002,0.1505193436005355
0.3700000000000002,0.1917992075818886,0.3700000000000002,0.1852861750662863,0.3700000000000002,0.175444221034689,0.3700000000000002,0.1684981635047301,0.3700000000000002,0.1633840922301566,0.3700000000000002,0.1594766108685522,0.3700000000000002,0.1563981685070301,0.3700000000000002,0.1539114311653371,0.3700000000000002,0.1501415887226045,0.3700000000000002,0.147419724592935,0.3700000000000002,0.1453628376535248,0.3700000000000002,0.143754468618767,0.3700000000000002,0.1424629630811433,0.3700000000000002,0.141403594372163,0.3700000000000002,0.1405193442345739
0.3800000000000002,0.1817992108892152,0.3800000000000002,0.1752861780881034,0.3800000000000002,0.1654442236755549,0.3800000000000002,0.1584981658652764,0.3800000000000002,0.1533840943632326,0.3800000000000002,0.1494766128117773,0.3800000000000002,0.1463981702896342,0.3800000000000002,0.1439114328106322,0.3800000000000002,0.140141590146314,0.3800000000000002,0.1374197258462938,0.3800000000000002,0.1353628387722347,0.3800000000000002,0.1337544696285553,0.3800000000000002,0.1324629640011061,0.3800000000000002,0.1314035952168275,0.3800000000000002,0.1305193450152381
