pch18_Cgd_Cgg (ll=3.5e-07) X,pch18_Cgd_Cgg (ll=3.5e-07) Y,pch18_Cgd_Cgg (ll=4e-07) X,pch18_Cgd_Cgg (ll=4e-07) Y,pch18_Cgd_Cgg (ll=5e-07) X,pch18_Cgd_Cgg (ll=5e-07) Y,pch18_Cgd_Cgg (ll=6e-07) X,pch18_Cgd_Cgg (ll=6e-07) Y,pch18_Cgd_Cgg (ll=7e-07) X,pch18_Cgd_Cgg (ll=7e-07) Y,pch18_Cgd_Cgg (ll=8e-07) X,pch18_Cgd_Cgg (ll=8e-07) Y,pch18_Cgd_Cgg (ll=9e-07) X,pch18_Cgd_Cgg (ll=9e-07) Y,pch18_Cgd_Cgg (ll=1e-06) X,pch18_Cgd_Cgg (ll=1e-06) Y,pch18_Cgd_Cgg (ll=1.2e-06) X,pch18_Cgd_Cgg (ll=1.2e-06) Y,pch18_Cgd_Cgg (ll=1.4e-06) X,pch18_Cgd_Cgg (ll=1.4e-06) Y,pch18_Cgd_Cgg (ll=1.6e-06) X,pch18_Cgd_Cgg (ll=1.6e-06) Y,pch18_Cgd_Cgg (ll=1.8e-06) X,pch18_Cgd_Cgg (ll=1.8e-06) Y,pch18_Cgd_Cgg (ll=2e-06) X,pch18_Cgd_Cgg (ll=2e-06) Y,pch18_Cgd_Cgg (ll=2.2e-06) X,pch18_Cgd_Cgg (ll=2.2e-06) Y,pch18_Cgd_Cgg (ll=2.4e-06) X,pch18_Cgd_Cgg (ll=2.4e-06) Y
0.3100000000000001,-0.2252569668895476,0.3100000000000001,-0.2055773429342875,0.3100000000000001,-0.1747837420810882,0.3100000000000001,-0.1518928180665085,0.3100000000000001,-0.1342513342222653,0.3100000000000001,-0.120255817380618,0.3100000000000001,-0.1088892051154977,0.3100000000000001,-0.09947803064498259,0.3100000000000001,-0.08480613229916795,0.3100000000000001,-0.0738997004282541,0.3100000000000001,-0.06547654033988889,0.3100000000000001,-0.05877635458657536,0.3100000000000001,-0.05332008380669857,0.3100000000000001,-0.04879101851150131,0.3100000000000001,-0.04497146118379899
0.3200000000000001,-0.2237054708080794,0.3200000000000001,-0.204070058831876,0.3200000000000001,-0.1733373111038866,0.3200000000000001,-0.150504342113276,0.3200000000000001,-0.132923701445042,0.3200000000000001,-0.118989898273903,0.3200000000000001,-0.1076836819230684,0.3200000000000001,-0.09833023330500082,0.3200000000000001,-0.08376355618964799,0.3200000000000001,-0.07294830301278955,0.3200000000000001,-0.06460363437087209,0.3200000000000001,-0.05797113815752698,0.3200000000000001,-0.05257354060845731,0.3200000000000001,-0.04809565587540596,0.3200000000000001,-0.04432103884801485
0.3300000000000001,-0.2218096697748655,0.3300000000000001,-0.2022239502094336,0.3300000000000001,-0.1715679414624579,0.3300000000000001,-0.1488116536722941,0.3300000000000001,-0.1313108718182512,0.3300000000000001,-0.1174568936306977,0.3300000000000001,-0.1062278134366435,0.3300000000000001,-0.09694734721079304,0.3300000000000001,-0.0825122088970518,0.3300000000000001,-0.07180968813799189,0.3300000000000001,-0.06356130452434042,0.3300000000000001,-0.05701135484122372,0.3300000000000001,-0.05168498209056845,0.3300000000000001,-0.04726900039350625,0.3300000000000001,-0.04354857737543824
0.3400000000000001,-0.2195518947119836,0.3400000000000001,-0.2000212902555722,0.3400000000000001,-0.1694600712093113,0.3400000000000001,-0.1468019964646415,0.3400000000000001,-0.1294026512101206,0.3400000000000001,-0.1156487522308591,0.3400000000000001,-0.104515289737857,0.3400000000000001,-0.09532446541793212,0.3400000000000001,-0.08104922647825068,0.3400000000000001,-0.07048233725970626,0.3400000000000001,-0.06234893559499186,0.3400000000000001,-0.05589700673671334,0.3400000000000001,-0.05065483805751211,0.3400000000000001,-0.04631178098892673,0.3400000000000001,-0.04265501579897471
0.3500000000000001,-0.2169253746994647,0.3500000000000001,-0.1974552923402614,0.3500000000000001,-0.1670091826314213,0.3500000000000001,-0.1444735910333261,0.3500000000000001,-0.1271995912568001,0.3500000000000001,-0.1135678353507753,0.3500000000000001,-0.1025498282329787,0.3500000000000001,-0.09346630400801884,0.3500000000000001,-0.07938057192449591,0.3500000000000001,-0.06897282919443162,0.3500000000000001,-0.06097336311271837,0.3500000000000001,-0.05463497982070811,0.3500000000000001,-0.04948992607157501,0.3500000000000001,-0.04523067904944947,0.3500000000000001,-0.04164686204248007
0.3600000000000002,-0.2139364823783392,0.3600000000000002,-0.1945324185338138,0.3600000000000002,-0.1642239826924491,0.3600000000000002,-0.1418375715129663,0.3600000000000002,-0.1247146703752933,0.3600000000000002,-0.1112283638472867,0.3600000000000002,-0.1003464173742743,0.3600000000000002,-0.09138827262739634,0.3600000000000002,-0.07752183582064168,0.3600000000000002,-0.06729644778891733,0.3600000000000002,-0.05944934103850494,0.3600000000000002,-0.05323940828448795,0.3600000000000002,-0.04820373809160347,0.3600000000000002,-0.04403855568157768,0.3600000000000002,-0.04053637410231425
0.3700000000000002,-0.2106060505868802,0.3700000000000002,-0.1912737299958163,0.3700000000000002,-0.1611275510920286,0.3700000000000002,-0.1389188387077226,0.3700000000000002,-0.1219738699927822,0.3700000000000002,-0.1086567624529178,0.3700000000000002,-0.09793147473029114,0.3700000000000002,-0.0891164856556837,0.3700000000000002,-0.0754980428027946,0.3700000000000002,-0.06547686431140839,0.3700000000000002,-0.05779914986981446,0.3700000000000002,-0.05173123938626673,0.3700000000000002,-0.04681598170699432,0.3700000000000002,-0.0427539819153018,0.3700000000000002,-0.03934108736939534
0.3800000000000002,-0.2069694487693947,0.3800000000000002,-0.1877149490702133,0.3800000000000002,-0.1577571377156534,0.3800000000000002,-0.1357555495783421,0.3800000000000002,-0.1190154100111175,0.3800000000000002,-0.1058907068554219,0.3800000000000002,-0.09534176156737371,0.3800000000000002,-0.08668658737318637,0.3800000000000002,-0.07334238531902794,0.3800000000000002,-0.06354484955858281,0.3800000000000002,-0.056051323514854,0.3800000000000002,-0.05013699362529836,0.3800000000000002,-0.04535138245762198,0.3800000000000002,-0.04140008671287265,0.3800000000000002,-0.03808270895689759
0.3900000000000002,-0.2030752836957784,0.3900000000000002,-0.1839050909427601,0.3900000000000002,-0.1541625034446891,0.3900000000000002,-0.1323971916890337,0.3900000000000002,-0.1158876434148918,0.3900000000000002,-0.102976915899579,0.3900000000000002,-0.09262212949000045,0.3900000000000002,-0.08414149195903887,0.3900000000000002,-0.07109401835825947,0.3900000000000002,-0.06153616652671178,0.3900000000000002,-0.05423865371527791,0.3900000000000002,-0.04848688149318435,0.3900000000000002,-0.04383790775624232,0.3900000000000002,-0.04000288068069202,0.3900000000000002,-0.03678553324524023
0.4000000000000002,-0.1989828134009021,0.4000000000000002,-0.17990376357326,0.4000000000000002,-0.1504029580291914,0.4000000000000002,-0.128901454374279,0.4000000000000002,-0.1126458667698579,0.4000000000000002,-0.09996797651926743,0.4000000000000002,-0.08982240615965197,0.4000000000000002,-0.0815283562840579,0.4000000000000002,-0.06879523875191659,0.4000000000000002,-0.05948896097111777,0.4000000000000002,-0.0523957777006318,0.4000000000000002,-0.04681256875722687,0.4000000000000002,-0.04230469017474753,0.4000000000000002,-0.03858931937854253,0.4000000000000002,-0.03547462936457212
0.4100000000000002,-0.1947583811617483,0.4100000000000002,-0.1757774674656263,0.4100000000000002,-0.1465434861760751,0.4100000000000002,-0.1253303322322317,0.4100000000000002,-0.109348506445506,0.4100000000000002,-0.09691866984965468,0.4100000000000002,-0.08699388678427548,0.4100000000000002,-0.07889524401741009,0.4100000000000002,-0.06648848173224023,0.4100000000000002,-0.05744105263813172,0.4100000000000002,-0.05055672254355292,0.4100000000000002,-0.04514493666564107,0.4100000000000002,-0.04077997207139258,0.4100000000000002,-0.03718540640375793,0.4100000000000002,-0.03417408137720188
0.4200000000000002,-0.1904713317897499,0.4200000000000002,-0.1715953898386428,0.4200000000000002,-0.1426505023081822,0.4200000000000002,-0.1217460176089994,0.4200000000000002,-0.1060532318212316,0.4200000000000002,-0.09388233201798396,0.4200000000000002,-0.08418594110295401,0.4200000000000002,-0.07628796474279118,0.4200000000000002,-0.06421356694945773,0.4200000000000002,-0.05542751330866038,0.4200000000000002,-0.04875275291472218,0.4200000000000002,-0.04351215040525361,0.4200000000000002,-0.03928935665261516,0.4200000000000002,-0.03581459732610894,0.4200000000000002,-0.03290552166169169
