nch18_Cdd_Cgg (ll=2e-07) X,nch18_Cdd_Cgg (ll=2e-07) Y,nch18_Cdd_Cgg (ll=3e-07) X,nch18_Cdd_Cgg (ll=3e-07) Y,nch18_Cdd_Cgg (ll=4e-07) X,nch18_Cdd_Cgg (ll=4e-07) Y,nch18_Cdd_Cgg (ll=5e-07) X,nch18_Cdd_Cgg (ll=5e-07) Y,nch18_Cdd_Cgg (ll=6e-07) X,nch18_Cdd_Cgg (ll=6e-07) Y,nch18_Cdd_Cgg (ll=7e-07) X,nch18_Cdd_Cgg (ll=7e-07) Y,nch18_Cdd_Cgg (ll=8e-07) X,nch18_Cdd_Cgg (ll=8e-07) Y,nch18_Cdd_Cgg (ll=9e-07) X,nch18_Cdd_Cgg (ll=9e-07) Y,nch18_Cdd_Cgg (ll=1e-06) X,nch18_Cdd_Cgg (ll=1e-06) Y,nch18_Cdd_Cgg (ll=1.2e-06) X,nch18_Cdd_Cgg (ll=1.2e-06) Y,nch18_Cdd_Cgg (ll=1.4e-06) X,nch18_Cdd_Cgg (ll=1.4e-06) Y,nch18_Cdd_Cgg (ll=1.6e-06) X,nch18_Cdd_Cgg (ll=1.6e-06) Y,nch18_Cdd_Cgg (ll=1.8e-06) X,nch18_Cdd_Cgg (ll=1.8e-06) Y,nch18_Cdd_Cgg (ll=2e-06) X,nch18_Cdd_Cgg (ll=2e-06) Y,nch18_Cdd_Cgg (ll=2.2e-06) X,nch18_Cdd_Cgg (ll=2.2e-06) Y,nch18_Cdd_Cgg (ll=2.4e-06) X,nch18_Cdd_Cgg (ll=2.4e-06) Y
0.2,0.3304561306677876,0.2,0.274248749007057,0.2,0.2343100429804764,0.2,0.2044958634557874,0.2,0.181417594969819,0.2,0.1630004624323662,0.2,0.1479631638494851,0.2,0.1354545613844793,0.2,0.1248870959643016,0.2,0.1080131155884634,0.2,0.09508105447087031,0.2,0.08489092913741891,0.2,0.0766569107879401,0.2,0.06986694473985912,0.2,0.06417311045781612,0.2,0.05933076894871081
0.21,0.3309173174393106,0.21,0.2747829372813979,0.21,0.234842068827636,0.21,0.2050006442889139,0.21,0.1818784817093902,0.21,0.1634171660412795,0.21,0.1483382379229399,0.21,0.135791562224755,0.21,0.1251897729748816,0.21,0.108257625121013,0.21,0.09526351377241941,0.21,0.08502402168449223,0.21,0.07675070044736799,0.21,0.06992931548800695,0.21,0.06421023337402577,0.21,0.05934749454644117
0.2200000000000001,0.3313631785902619,0.2200000000000001,0.2752915644103026,0.2200000000000001,0.2353389562935732,0.2200000000000001,0.2054627914743447,0.2200000000000001,0.1822883990353981,0.2200000000000001,0.1637763446148075,0.2200000000000001,0.1486507134017591,0.2200000000000001,0.1360620916806257,0.2200000000000001,0.1254230683832519,0.2200000000000001,0.1084290848335116,0.2200000000000001,0.09536764228681506,0.2200000000000001,0.08507588317508401,0.2200000000000001,0.0767619826700106,0.2200000000000001,0.06990900226579973,0.2200000000000001,0.06416523607320201,0.2200000000000001,0.05928315697708394
0.2300000000000001,0.3317878608760906,0.2300000000000001,0.2757664700295888,0.2300000000000001,0.235789727150565,0.2300000000000001,0.2058690135997268,0.2300000000000001,0.1826316048339914,0.2300000000000001,0.1640604396417327,0.2300000000000001,0.1488817286484631,0.2300000000000001,0.1362463866550172,0.2300000000000001,0.1255666275059494,0.2300000000000001,0.1085066133266909,0.2300000000000001,0.09537223282177305,0.2300000000000001,0.08502555414526212,0.2300000000000001,0.07667036682928921,0.2300000000000001,0.06978635250370202,0.2300000000000001,0.06401928214583656,0.2300000000000001,0.05911975972296438
0.2400000000000001,0.3321836338401289,0.2400000000000001,0.2761968453481859,0.2400000000000001,0.2361799513853182,0.2400000000000001,0.2062019907596001,0.2400000000000001,0.1828878589404217,0.2400000000000001,0.1642471393350087,0.2400000000000001,0.149007567879301,0.2400000000000001,0.1363198366687336,0.2400000000000001,0.1255953282946849,0.2400000000000001,0.1084648498889281,0.2400000000000001,0.0952521396217009,0.2400000000000001,0.08484870042303351,0.2400000000000001,0.07645262182397704,0.2400000000000001,0.06953935684415428,0.2400000000000001,0.0637516059938987,0.2400000000000001,0.05883775019177734
0.2500000000000001,0.3325403576866647,0.2500000000000001,0.2765685267318253,0.2500000000000001,0.2364909113027892,0.2500000000000001,0.2064394954689804,0.2500000000000001,0.1830315893723602,0.2500000000000001,0.1643086449229459,0.2500000000000001,0.1489990562855184,0.2500000000000001,0.1362525196725412,0.2500000000000001,0.1254789592236841,0.2500000000000001,0.1082738986333899,0.2500000000000001,0.09497855966771597,0.2500000000000001,0.08451815653865014,0.2500000000000001,0.07608341521924776,0.2500000000000001,0.06914453007372595,0.2500000000000001,0.06334049342335221,0.2500000000000001,0.05841706773296477
0.2600000000000001,0.3328448470918887,0.2600000000000001,0.2768631787478426,0.2600000000000001,0.2366986899762898,0.2600000000000001,0.2065535002895968,0.2600000000000001,0.1830311464725984,0.2600000000000001,0.1642111266423716,0.2600000000000001,0.148821238350163,0.2600000000000001,0.1360091024037868,0.2600000000000001,0.1251823299162048,0.2600000000000001,0.1078998048504666,0.2600000000000001,0.09451991625588022,0.2600000000000001,0.08400509248633516,0.2600000000000001,0.0755366661160719,0.2600000000000001,0.06857837823610233,0.2600000000000001,0.06276481131785985,0.2600000000000001,0.05783869937220326
0.2700000000000001,0.3330801382914002,0.2700000000000001,0.2770573970220585,0.2700000000000001,0.2367732587703156,0.2700000000000001,0.2065093939567319,0.2700000000000001,0.1828483179679483,0.2700000000000001,0.1639145802371229,0.2700000000000001,0.1484335742869442,0.2700000000000001,0.1355493524013906,0.2700000000000001,0.1246660642059111,0.2700000000000001,0.1073057984544382,0.2700000000000001,0.09384352584121206,0.2700000000000001,0.08328092479575053,0.2700000000000001,0.07478757592099788,0.2700000000000001,0.0678194663729101,0.2700000000000001,0.0620060591509703,0.2700000000000001,0.05708668201921951
0.2800000000000001,0.3332246878291699,0.2800000000000001,0.2771217982924396,0.2800000000000001,0.2366776960894023,0.2800000000000001,0.2062654989810664,0.2800000000000001,0.1824383520680238,0.2800000000000001,0.1633733605841858,0.2800000000000001,0.1477909393803562,0.2800000000000001,0.1348295382863188,0.2800000000000001,0.1238883325837588,0.2800000000000001,0.1064545029062453,0.2800000000000001,0.09291814213370078,0.2800000000000001,0.08231997225638665,0.2800000000000001,0.07381526129612957,0.2800000000000001,0.06685095283391178,0.2800000000000001,0.06105076534473423,0.2800000000000001,0.05615034372972011
0.2900000000000001,0.3332515642457562,0.2900000000000001,0.2770202183609795,0.2900000000000001,0.236367742798562,0.2900000000000001,0.2057731630212177,0.2900000000000001,0.1817507999888462,0.2900000000000001,0.1625377043809548,0.2900000000000001,0.1468457106220228,0.2900000000000001,0.1338049573468676,0.2900000000000001,0.1228077080613301,0.2900000000000001,0.1053111761602629,0.2900000000000001,0.09171729234593,0.2900000000000001,0.08110265899342445,0.2900000000000001,0.0726057162791876,0.2900000000000001,0.06566327025645695,0.2900000000000001,0.05989288283951071,0.2900000000000001,0.05502642753491637
