nch18_ft  (ll=2e-07) X,nch18_ft  (ll=2e-07) Y,nch18_ft  (ll=3e-07) X,nch18_ft  (ll=3e-07) Y,nch18_ft  (ll=4e-07) X,nch18_ft  (ll=4e-07) Y,nch18_ft  (ll=5e-07) X,nch18_ft  (ll=5e-07) Y,nch18_ft  (ll=6e-07) X,nch18_ft  (ll=6e-07) Y,nch18_ft  (ll=7e-07) X,nch18_ft  (ll=7e-07) Y,nch18_ft  (ll=8e-07) X,nch18_ft  (ll=8e-07) Y,nch18_ft  (ll=9e-07) X,nch18_ft  (ll=9e-07) Y,nch18_ft  (ll=1e-06) X,nch18_ft  (ll=1e-06) Y,nch18_ft  (ll=1.2e-06) X,nch18_ft  (ll=1.2e-06) Y,nch18_ft  (ll=1.4e-06) X,nch18_ft  (ll=1.4e-06) Y,nch18_ft  (ll=1.6e-06) X,nch18_ft  (ll=1.6e-06) Y,nch18_ft  (ll=1.8e-06) X,nch18_ft  (ll=1.8e-06) Y,nch18_ft  (ll=2e-06) X,nch18_ft  (ll=2e-06) Y,nch18_ft  (ll=2.2e-06) X,nch18_ft  (ll=2.2e-06) Y,nch18_ft  (ll=2.4e-06) X,nch18_ft  (ll=2.4e-06) Y
0.2,-21228951.97422168,0.2,-12284819.93526331,0.2,-10288794.42887767,0.2,-9238530.553878933,0.2,-8898416.155496802,0.2,-8555674.548548564,0.2,-8217312.253235702,0.2,-7887833.984987648,0.2,-7569736.120877794,0.2,-6971968.569279958,0.2,-6263258.734693006,0.2,-5654784.802604457,0.2,-5126778.725712214,0.2,-4665228.577515805,0.2,-4259532.17949704,0.2,-3901311.833667117
0.21,-27958878.85371435,0.21,-16128577.51364394,0.21,-13471433.58889407,0.21,-12066562.36676433,0.21,-11572723.96047552,0.21,-11085287.03803846,0.21,-10610014.09590444,0.21,-10151055.61760893,0.21,-9710684.094792295,0.21,-8889024.468796737,0.21,-7907593.628497822,0.21,-7075934.019977173,0.21,-6362535.722814549,0.21,-5745521.219251755,0.21,-5208559.492565584,0.21,-4738885.757141736
0.2200000000000001,-36780074.85750818,0.2200000000000001,-21146575.40333163,0.2200000000000001,-17608537.4358751,0.2200000000000001,-15726954.90401381,0.2200000000000001,-15010991.07643308,0.2200000000000001,-14316753.47316793,0.2200000000000001,-13647395.63928657,0.2200000000000001,-13006133.96871722,0.2200000000000001,-12394681.97006131,0.2200000000000001,-11262584.88044713,0.2200000000000001,-9908588.710573852,0.2200000000000001,-8777187.584320815,0.2200000000000001,-7819098.799145143,0.2200000000000001,-7000427.03465368,0.2200000000000001,-6296068.795129228,0.2200000000000001,-5686577.992450329
0.2300000000000001,-48319815.04164977,0.2300000000000001,-27681894.58108823,0.2300000000000001,-22969277.29942924,0.2300000000000001,-20445283.13996244,0.2300000000000001,-19408111.43981319,0.2300000000000001,-18417774.49996391,0.2300000000000001,-17472824.58309554,0.2300000000000001,-16574680.66033316,0.2300000000000001,-15723972.87667716,0.2300000000000001,-14162644.71135745,0.2300000000000001,-12305259.29369339,0.2300000000000001,-10777159.45712525,0.2300000000000001,-9501935.421924679,0.2300000000000001,-8427211.449510174,0.2300000000000001,-7514450.232748806,0.2300000000000001,-6734107.054779707
0.2400000000000001,-63381252.3775475,0.2400000000000001,-36169023.51653229,0.2400000000000001,-29888825.74735865,0.2400000000000001,-26496839.48167229,0.2400000000000001,-24995090.98938376,0.2400000000000001,-23580632.25764096,0.2400000000000001,-22244565.42346577,0.2400000000000001,-20985211.65990371,0.2400000000000001,-19801248.71685718,0.2400000000000001,-17650667.81474585,0.2400000000000001,-15123673.47096213,0.2400000000000001,-13080859.24125201,0.2400000000000001,-11404146.83691154,0.2400000000000001,-10012794.33773683,0.2400000000000001,-8847935.349379119,0.2400000000000001,-7865077.361915211
0.2500000000000001,-82985976.44314423,0.2500000000000001,-47153152.45597132,0.2500000000000001,-38778760.46038841,0.2500000000000001,-34210924.29781953,0.2500000000000001,-32037962.04991561,0.2500000000000001,-30017160.44707545,0.2500000000000001,-28128082.33973546,0.2500000000000001,-26363878.59444487,0.2500000000000001,-24719704.51299968,0.2500000000000001,-21770182.29260533,0.2500000000000001,-18370767.14427482,0.2500000000000001,-15676643.88069219,0.2500000000000001,-13505879.46138849,0.2500000000000001,-11734843.38428575,0.2500000000000001,-10274704.85254807,0.2500000000000001,-9059601.88301616
0.2600000000000001,-108423105.8957424,0.2600000000000001,-61310593.62585569,0.2600000000000001,-50135663.98940808,0.2600000000000001,-43971436.67128264,0.2600000000000001,-40831758.86573925,0.2600000000000001,-37948506.86221596,0.2600000000000001,-35283602.07659005,0.2600000000000001,-32821414.23310054,0.2600000000000001,-30550521.3806604,0.2600000000000001,-26537337.0636577,0.2600000000000001,-22030357.71001029,0.2600000000000001,-18536247.74533749,0.2600000000000001,-15776790.66713363,0.2600000000000001,-13565437.50514959,0.2600000000000001,-11770926.16317929,0.2600000000000001,-10298228.31081552
0.2700000000000001,-141303715.7765338,0.2700000000000001,-79468488.01302025,0.2700000000000001,-64545496.77359376,0.2700000000000001,-56211322.10932468,0.2700000000000001,-51687724.9725081,0.2700000000000001,-47588892.73219635,0.2700000000000001,-43849297.50197228,0.2700000000000001,-40437704.17161924,0.2700000000000001,-37329999.57582138,0.2700000000000001,-31934373.16850226,0.2700000000000001,-26063599.72743685,0.2700000000000001,-21618991.08136433,0.2700000000000001,-18181676.50273961,0.2700000000000001,-15476753.24465034,0.2700000000000001,-13315837.62396402,0.2700000000000001,-11566180.70698397
0.2800000000000001,-183617816.1817851,0.2800000000000001,-102620771.9174433,0.2800000000000001,-82680478.83931409,0.2800000000000001,-71398237.52988547,0.2800000000000001,-64912653.54217038,0.2800000000000001,-59124062.0138665,0.2800000000000001,-53922341.87254892,0.2800000000000001,-49247292.85623077,0.2800000000000001,-45050140.96850456,0.2800000000000001,-37909396.74668781,0.2800000000000001,-30415275.72410152,0.2800000000000001,-24879942.47443042,0.2800000000000001,-20688146.57612599,0.2800000000000001,-17447358.43589756,0.2800000000000001,-14896516.12192292,0.2800000000000001,-12856770.79044538
0.2900000000000001,-237788868.009103,0.2900000000000001,-131935995.4788504,0.2900000000000001,-105284717.0921854,0.2900000000000001,-90009458.33864865,0.2900000000000001,-80781135.97000839,0.2900000000000001,-72687557.81840552,0.2900000000000001,-65542385.58297024,0.2900000000000001,-59230757.78036641,0.2900000000000001,-53657162.40344822,0.2900000000000001,-44384720.42537117,0.2900000000000001,-35025387.2025217,0.2900000000000001,-28280207.59543298,0.2900000000000001,-23274314.93765172,0.2900000000000001,-19467402.95993795,0.2900000000000001,-16511093.05564747,0.2900000000000001,-14173192.86259881
