pch18_Cdd_Cgg (ll=2e-07) X,pch18_Cdd_Cgg (ll=2e-07) Y,pch18_Cdd_Cgg (ll=3e-07) X,pch18_Cdd_Cgg (ll=3e-07) Y,pch18_Cdd_Cgg (ll=4e-07) X,pch18_Cdd_Cgg (ll=4e-07) Y,pch18_Cdd_Cgg (ll=5e-07) X,pch18_Cdd_Cgg (ll=5e-07) Y,pch18_Cdd_Cgg (ll=6e-07) X,pch18_Cdd_Cgg (ll=6e-07) Y,pch18_Cdd_Cgg (ll=7e-07) X,pch18_Cdd_Cgg (ll=7e-07) Y,pch18_Cdd_Cgg (ll=8e-07) X,pch18_Cdd_Cgg (ll=8e-07) Y,pch18_Cdd_Cgg (ll=9e-07) X,pch18_Cdd_Cgg (ll=9e-07) Y,pch18_Cdd_Cgg (ll=1e-06) X,pch18_Cdd_Cgg (ll=1e-06) Y,pch18_Cdd_Cgg (ll=1.2e-06) X,pch18_Cdd_Cgg (ll=1.2e-06) Y,pch18_Cdd_Cgg (ll=1.4e-06) X,pch18_Cdd_Cgg (ll=1.4e-06) Y,pch18_Cdd_Cgg (ll=1.6e-06) X,pch18_Cdd_Cgg (ll=1.6e-06) Y,pch18_Cdd_Cgg (ll=1.8e-06) X,pch18_Cdd_Cgg (ll=1.8e-06) Y,pch18_Cdd_Cgg (ll=2e-06) X,pch18_Cdd_Cgg (ll=2e-06) Y,pch18_Cdd_Cgg (ll=2.2e-06) X,pch18_Cdd_Cgg (ll=2.2e-06) Y,pch18_Cdd_Cgg (ll=2.4e-06) X,pch18_Cdd_Cgg (ll=2.4e-06) Y
0.3000000000000001,0.306509061203456,0.3000000000000001,0.2538435522308059,0.3000000000000001,0.2164675029838464,0.3000000000000001,0.1886421402952042,0.3000000000000001,0.1669422003564606,0.3000000000000001,0.1496633980124106,0.3000000000000001,0.135593778800239,0.3000000000000001,0.1239229031559878,0.3000000000000001,0.1140898210400868,0.3000000000000001,0.09844509928576672,0.3000000000000001,0.08654553890534829,0.3000000000000001,0.07720260101994211,0.3000000000000001,0.06967507606133966,0.3000000000000001,0.06348215823952909,0.3000000000000001,0.0582986298169846,0.3000000000000001,0.05389677812165932
0.3100000000000001,0.3072065484899541,0.3100000000000001,0.2543586443670061,0.3100000000000001,0.2168021347573476,0.3100000000000001,0.1888413358333149,0.3100000000000001,0.1669625931393849,0.3100000000000001,0.1495510533010918,0.3100000000000001,0.1353849062466491,0.3100000000000001,0.1236445040004205,0.3100000000000001,0.1137617163669979,0.3100000000000001,0.09805731334521169,0.3100000000000001,0.08611225205911334,0.3100000000000001,0.07674810535310489,0.3100000000000001,0.06921368766232426,0.3100000000000001,0.06302238384378822,0.3100000000000001,0.0578455153093051,0.3100000000000001,0.05345326401948257
0.3200000000000001,0.3078645720233782,0.3200000000000001,0.2547608053914076,0.3200000000000001,0.2169673838891422,0.3200000000000001,0.1888371529903147,0.3200000000000001,0.1667396058200003,0.3200000000000001,0.1491720391301421,0.3200000000000001,0.1348973461621389,0.3200000000000001,0.1230827335416021,0.3200000000000001,0.1131502578807502,0.3200000000000001,0.09739401858495737,0.3200000000000001,0.08541197078359657,0.3200000000000001,0.0760383048671954,0.3200000000000001,0.06850963403842535,0.3200000000000001,0.06233248846388576,0.3200000000000001,0.05717425425605223,0.3200000000000001,0.05280281462493706
0.3300000000000001,0.3084659384526297,0.3300000000000001,0.2550099868680852,0.3300000000000001,0.2169077280315337,0.3300000000000001,0.188566381014408,0.3300000000000001,0.1662049988596911,0.3300000000000001,0.148457772262985,0.3300000000000001,0.1340645578099427,0.3300000000000001,0.122174193795834,0.3300000000000001,0.1121956035968231,0.3300000000000001,0.09640247352865498,0.3300000000000001,0.08439870810548888,0.3300000000000001,0.07503308510309926,0.3300000000000001,0.06752774969597149,0.3300000000000001,0.06138144129390517,0.3300000000000001,0.05625727245665677,0.3300000000000001,0.0519207590902685
0.3400000000000001,0.3089883984193161,0.3400000000000001,0.2550561704232556,0.3400000000000001,0.2165564265399442,0.3400000000000001,0.1879554206749072,0.3400000000000001,0.1652835597085833,0.3400000000000001,0.1473362624472024,0.3400000000000001,0.132819718367161,0.3400000000000001,0.120857758005411,0.3400000000000001,0.1108422005627716,0.3400000000000001,0.09503699195909654,0.3400000000000001,0.08303580682819588,0.3400000000000001,0.07370296272582949,0.3400000000000001,0.06624418623399281,0.3400000000000001,0.0601498284691561,0.3400000000000001,0.05507867056583177,0.3400000000000001,0.05079400829908428
0.3500000000000001,0.3094037122815448,0.3500000000000001,0.2548390563427623,0.3500000000000001,0.2158371884194384,0.3500000000000001,0.1869238637009899,0.3500000000000001,0.1638991480762717,0.3500000000000001,0.1457397096939789,0.3500000000000001,0.1311041620140039,0.3500000000000001,0.1190833731181843,0.3500000000000001,0.1090476476030599,0.3500000000000001,0.09326744869360819,0.3500000000000001,0.08130385396971743,0.3500000000000001,0.07203627903016142,0.3500000000000001,0.06465289419050059,0.3500000000000001,0.05863568319528586,0.3500000000000001,0.05363947604746692,0.3500000000000001,0.04942580081244628
0.3600000000000002,0.3096768748805917,0.3600000000000002,0.2542891274739681,0.3600000000000002,0.2146684102110622,0.3600000000000002,0.1853912579770334,0.3600000000000002,0.1619839026740714,0.3600000000000002,0.1436147565025048,0.3600000000000002,0.1288778137503297,0.3600000000000002,0.1168222019330865,0.3600000000000002,0.1067923110674196,0.3600000000000002,0.09108762162922081,0.3600000000000002,0.07920761407621461,0.3600000000000002,0.07004487770648794,0.3600000000000002,0.06277025295628227,0.3600000000000002,0.05685826131896705,0.3600000000000002,0.05196072674894058,0.3600000000000002,0.04783822550139767
0.3700000000000002,0.3097657357588471,0.3700000000000002,0.2533307465270268,0.3700000000000002,0.2129705127695055,0.3700000000000002,0.1832871300783142,0.3700000000000002,0.1594897516971423,0.3700000000000002,0.1409338147066721,0.3700000000000002,0.1261295704700674,0.3700000000000002,0.1140757947015729,0.3700000000000002,0.104087263375849,0.3700000000000002,0.08852094559249588,0.3700000000000002,0.07677971292803985,0.3700000000000002,0.06776623757176573,0.3700000000000002,0.06063606841094515,0.3700000000000002,0.05485821253777955,0.3700000000000002,0.05008303978948613,0.3700000000000002,0.04607135039021235
0.3800000000000002,0.3096213323275807,0.3800000000000002,0.2518877897726312,0.3800000000000002,0.2106761957785217,0.3800000000000002,0.1805632021529337,0.3800000000000002,0.1564000635514297,0.3800000000000002,0.1377047409978344,0.3800000000000002,0.1228847300193502,0.3800000000000002,0.110881444723528,0.3800000000000002,0.1009778695736247,0.3800000000000002,0.08562146197414548,0.3800000000000002,0.07407940406983365,0.3800000000000002,0.06526086886875547,0.3800000000000002,0.05831012814472639,0.3800000000000002,0.05269363340233231,0.3800000000000002,0.04806237978718855,0.3800000000000002,0.04417884659007576
0.3900000000000002,0.3091892986024217,0.3900000000000002,0.2498918418744502,0.3900000000000002,0.2077423167006155,0.3900000000000002,0.1772054008681795,0.3900000000000002,0.1527383136536457,0.3900000000000002,0.1339757692559105,0.3900000000000002,0.1192067560643077,0.3900000000000002,0.1073115057890809,0.3900000000000002,0.09754128844683632,0.3900000000000002,0.08246905540993112,0.3900000000000002,0.07118626267005512,0.3900000000000002,0.06260532692021703,0.3900000000000002,0.05586500029659229,0.3900000000000002,0.05043290006716352,0.3900000000000002,0.04596305601213875,0.3900000000000002,0.04222121507073077
