pch18_Vdsat (ll=2e-07) X,pch18_Vdsat (ll=2e-07) Y,pch18_Vdsat (ll=3e-07) X,pch18_Vdsat (ll=3e-07) Y,pch18_Vdsat (ll=4e-07) X,pch18_Vdsat (ll=4e-07) Y,pch18_Vdsat (ll=5e-07) X,pch18_Vdsat (ll=5e-07) Y,pch18_Vdsat (ll=6e-07) X,pch18_Vdsat (ll=6e-07) Y,pch18_Vdsat (ll=7e-07) X,pch18_Vdsat (ll=7e-07) Y,pch18_Vdsat (ll=8e-07) X,pch18_Vdsat (ll=8e-07) Y,pch18_Vdsat (ll=9e-07) X,pch18_Vdsat (ll=9e-07) Y,pch18_Vdsat (ll=1e-06) X,pch18_Vdsat (ll=1e-06) Y,pch18_Vdsat (ll=1.2e-06) X,pch18_Vdsat (ll=1.2e-06) Y,pch18_Vdsat (ll=1.4e-06) X,pch18_Vdsat (ll=1.4e-06) Y,pch18_Vdsat (ll=1.6e-06) X,pch18_Vdsat (ll=1.6e-06) Y,pch18_Vdsat (ll=1.8e-06) X,pch18_Vdsat (ll=1.8e-06) Y,pch18_Vdsat (ll=2e-06) X,pch18_Vdsat (ll=2e-06) Y,pch18_Vdsat (ll=2.2e-06) X,pch18_Vdsat (ll=2.2e-06) Y,pch18_Vdsat (ll=2.4e-06) X,pch18_Vdsat (ll=2.4e-06) Y
0.2,-0.04267892487040241,0.2,-0.04178982089363844,0.2,-0.04119340500123995,0.2,-0.04078886970678088,0.2,-0.04001832149172971,0.2,-0.03945548172827824,0.2,-0.0390275746899947,0.2,-0.03869169158453248,0.2,-0.03842120091439392,0.2,-0.03801270152926004,0.2,-0.03820743756649039,0.2,-0.03835637970542655,0.2,-0.03847399411607954,0.2,-0.03856923030708518,0.2,-0.03864792347671848,0.2,-0.03871404140219229
0.21,-0.04268440214424894,0.21,-0.04179807897546214,0.21,-0.04120388740316566,0.21,-0.04080093700939273,0.21,-0.04003257098976718,0.21,-0.03947144315155321,0.21,-0.03904491384654148,0.21,-0.0387101644899104,0.21,-0.03844062443887766,0.21,-0.03803363354794186,0.21,-0.03823000621107131,0.21,-0.0383802631949185,0.21,-0.03849895793308755,0.21,-0.03859509814746061,0.21,-0.03867455934424267,0.21,-0.03874133810774466
0.2200000000000001,-0.04269160556047267,0.2200000000000001,-0.04180907572067355,0.2200000000000001,-0.04121790930290569,0.2200000000000001,-0.04081711596837415,0.2200000000000001,-0.04005163937989005,0.2200000000000001,-0.03949277399434197,0.2200000000000001,-0.03906806301650723,0.2200000000000001,-0.03873480846430634,0.2200000000000001,-0.03846652078706939,0.2200000000000001,-0.03806151552735205,0.2200000000000001,-0.03826005022528774,0.2200000000000001,-0.03841204309881172,0.2200000000000001,-0.03853216343739118,0.2200000000000001,-0.0386294961517316,0.2200000000000001,-0.03870997014332322,0.2200000000000001,-0.03877762012780001
0.2300000000000001,-0.04270107084479564,0.2300000000000001,-0.04182370218000574,0.2300000000000001,-0.04123663999175638,0.2300000000000001,-0.04083877464075288,0.2300000000000001,-0.04007711465485828,0.2300000000000001,-0.03952123152612601,0.2300000000000001,-0.03909891382294384,0.2300000000000001,-0.03876762453225349,0.2300000000000001,-0.0385009819583154,0.2300000000000001,-0.03809858251025115,0.2300000000000001,-0.03829996529407233,0.2300000000000001,-0.03845424331043801,0.2300000000000001,-0.03857623932229473,0.2300000000000001,-0.03867514034809703,0.2300000000000001,-0.03875694584665843,0.2300000000000001,-0.03882574087817037
0.2400000000000001,-0.04271349593194698,0.2400000000000001,-0.04184313017538078,0.2400000000000001,-0.04126162085347743,0.2400000000000001,-0.04086771793358128,0.2400000000000001,-0.040111084978656,0.2400000000000001,-0.03955912100570923,0.2400000000000001,-0.03913994328978385,0.2400000000000001,-0.03881122924164265,0.2400000000000001,-0.0385467402980424,0.2400000000000001,-0.03814774851274005,0.2400000000000001,-0.03835287083868889,0.2400000000000001,-0.03851014691622936,0.2400000000000001,-0.03863460228417525,0.2400000000000001,-0.03873555865972116,0.2400000000000001,-0.03881910846857893,0.2400000000000001,-0.03888940304230883
0.2500000000000001,-0.0427297880156647,0.2500000000000001,-0.04186889578357319,0.2500000000000001,-0.04129487582836928,0.2500000000000001,-0.04090631670273338,0.2500000000000001,-0.04015628320535141,0.2500000000000001,-0.03960945137760857,0.2500000000000001,-0.03919437800420426,0.2500000000000001,-0.03886902546503277,0.2500000000000001,-0.03860734465099532,0.2500000000000001,-0.03821279079253719,0.2500000000000001,-0.03842280439144907,0.2500000000000001,-0.03858399843277797,0.2500000000000001,-0.03871166555527645,0.2500000000000001,-0.03881530459548035,0.2500000000000001,-0.0389011300606979,0.2500000000000001,-0.03897338021573243
0.2600000000000001,-0.04275112317089232,0.2600000000000001,-0.04190300487941655,0.2600000000000001,-0.04133905017743643,0.2600000000000001,-0.0409576690641681,0.2600000000000001,-0.04021626578434961,0.2600000000000001,-0.03967612666294996,0.2600000000000001,-0.03926639480025995,0.2600000000000001,-0.03894541026360292,0.2600000000000001,-0.03868737394072547,0.2600000000000001,-0.03829857196226044,0.2600000000000001,-0.03851495479817926,0.2600000000000001,-0.03868124554986765,0.2600000000000001,-0.03881308742913771,0.2600000000000001,-0.03892021129326903,0.2600000000000001,-0.03900899133327146,0.2600000000000001,-0.03908377938705964
0.2700000000000001,-0.04277902133689059,0.2700000000000001,-0.04194806501478773,0.2700000000000001,-0.04139758222331132,0.2700000000000001,-0.04102579852244721,0.2700000000000001,-0.04029563000869652,0.2700000000000001,-0.03976417635840385,0.2700000000000001,-0.03936136068621143,0.2700000000000001,-0.03904602200654777,0.2700000000000001,-0.03879268989639785,0.2700000000000001,-0.03841130087302246,0.2700000000000001,-0.03863593448860136,0.2700000000000001,-0.03880882003495602,0.2700000000000001,-0.03894605893168612,0.2700000000000001,-0.03905768463429255,0.2700000000000001,-0.03915027924088103,0.2700000000000001,-0.03922834226134389
0.2800000000000001,-0.04281543975565019,0.2800000000000001,-0.04200744782750037,0.2800000000000001,-0.04147491195702768,0.2800000000000001,-0.04111589205400575,0.2800000000000001,-0.0404002713785078,0.2800000000000001,-0.03988002539299679,0.2800000000000001,-0.03948611150274081,0.2800000000000001,-0.03917802531278005,0.2800000000000001,-0.03893072669423787,0.2800000000000001,-0.03855882872087483,0.2800000000000001,-0.03879408605538565,0.2800000000000001,-0.03897545202983357,0.2800000000000001,-0.03911962401734442,0.2800000000000001,-0.0392370280806514,0.2800000000000001,-0.03933451555817203,0.2800000000000001,-0.03941677690481471
0.2900000000000001,-0.04286288810711221,0.2900000000000001,-0.04208548542909317,0.2900000000000001,-0.04157672841100329,0.2900000000000001,-0.04123457818488985,0.2900000000000001,-0.04053767872634412,0.2900000000000001,-0.04003179926783921,0.2900000000000001,-0.0396492632406871,0.2900000000000001,-0.0393504263115441,0.2900000000000001,-0.03911080878861092,0.2900000000000001,-0.03875096968169407,0.2900000000000001,-0.03899981054814413,0.2900000000000001,-0.03919200359255599,0.2900000000000001,-0.03934501685059008,0.2900000000000001,-0.03946978270542577,0.2900000000000001,-0.0395734989808592,0.2900000000000001,-0.03966110143845152
