nch18_Vgs_Vth  (ll=2e-07) X,nch18_Vgs_Vth  (ll=2e-07) Y,nch18_Vgs_Vth  (ll=3e-07) X,nch18_Vgs_Vth  (ll=3e-07) Y,nch18_Vgs_Vth  (ll=4e-07) X,nch18_Vgs_Vth  (ll=4e-07) Y,nch18_Vgs_Vth  (ll=5e-07) X,nch18_Vgs_Vth  (ll=5e-07) Y,nch18_Vgs_Vth  (ll=6e-07) X,nch18_Vgs_Vth  (ll=6e-07) Y,nch18_Vgs_Vth  (ll=7e-07) X,nch18_Vgs_Vth  (ll=7e-07) Y,nch18_Vgs_Vth  (ll=8e-07) X,nch18_Vgs_Vth  (ll=8e-07) Y,nch18_Vgs_Vth  (ll=9e-07) X,nch18_Vgs_Vth  (ll=9e-07) Y,nch18_Vgs_Vth  (ll=1e-06) X,nch18_Vgs_Vth  (ll=1e-06) Y,nch18_Vgs_Vth  (ll=1.2e-06) X,nch18_Vgs_Vth  (ll=1.2e-06) Y,nch18_Vgs_Vth  (ll=1.4e-06) X,nch18_Vgs_Vth  (ll=1.4e-06) Y,nch18_Vgs_Vth  (ll=1.6e-06) X,nch18_Vgs_Vth  (ll=1.6e-06) Y,nch18_Vgs_Vth  (ll=1.8e-06) X,nch18_Vgs_Vth  (ll=1.8e-06) Y,nch18_Vgs_Vth  (ll=2e-06) X,nch18_Vgs_Vth  (ll=2e-06) Y,nch18_Vgs_Vth  (ll=2.2e-06) X,nch18_Vgs_Vth  (ll=2.2e-06) Y,nch18_Vgs_Vth  (ll=2.4e-06) X,nch18_Vgs_Vth  (ll=2.4e-06) Y
0.2,-0.343753143228639,0.2,-0.3381138943638168,0.2,-0.3288379845500027,0.2,-0.321348040631751,0.2,-0.3144140484087056,0.2,-0.3088099544925672,0.2,-0.3041541833218374,0.2,-0.3002024763059009,0.2,-0.2967913996069804,0.2,-0.2911669522223105,0.2,-0.286745844374101,0.2,-0.2830495349111,0.2,-0.2799085438714319,0.2,-0.2772028942764787,0.2,-0.2748453594953371,0.2,-0.2727709595710767
0.21,-0.3337531594974892,0.21,-0.3281139036400598,0.21,-0.3188379923801502,0.21,-0.3113480477442595,0.21,-0.3044140553691709,0.21,-0.2988099612979828,0.21,-0.294154189972908,0.21,-0.2902024828055954,0.21,-0.2867914059594178,0.21,-0.2811669582944306,0.21,-0.2767458500801913,0.21,-0.2730495403041425,0.21,-0.2699085489910291,0.21,-0.2672028991535631,0.21,-0.2648453641548805,0.21,-0.2627709640337538
0.2200000000000001,-0.3237531809572691,0.2200000000000001,-0.3181139158493846,0.2200000000000001,-0.3088380026700075,0.2200000000000001,-0.3013480570802167,0.2200000000000001,-0.2944140644814762,0.2200000000000001,-0.2888099701900552,0.2200000000000001,-0.2841541986502173,0.2200000000000001,-0.2802024912750621,0.2200000000000001,-0.2767914142285767,0.2200000000000001,-0.2711669661858863,0.2200000000000001,-0.2667458574674783,0.2200000000000001,-0.2630495472663453,0.2200000000000001,-0.2599085555857592,0.2200000000000001,-0.2572029054249469,0.2200000000000001,-0.2548453701379921,0.2200000000000001,-0.2527709697572639
0.2300000000000001,-0.313753209233503,0.2300000000000001,-0.3081139319011977,0.2300000000000001,-0.2988380161755498,0.2300000000000001,-0.2913480693182849,0.2300000000000001,-0.2844140763937189,0.2300000000000001,-0.2788099817909219,0.2300000000000001,-0.2741542099530286,0.2300000000000001,-0.2702025022929844,0.2300000000000001,-0.2667914249743683,0.2300000000000001,-0.2611669764232716,0.2300000000000001,-0.2567458670143058,0.2300000000000001,-0.2530495562384574,0.2300000000000001,-0.2499085640658021,0.2300000000000001,-0.2472029134751862,0.2300000000000001,-0.2448453778072691,0.2300000000000001,-0.2427709770850704
0.2400000000000001,-0.3037532464455651,0.2400000000000001,-0.2981139529781199,0.2400000000000001,-0.2888380338770672,0.2400000000000001,-0.281348085336443,0.2400000000000001,-0.2744140919411503,0.2400000000000001,-0.2688099969000384,0.2400000000000001,-0.2641542246495884,0.2400000000000001,-0.260202516599774,0.2400000000000001,-0.2567914389119956,0.2400000000000001,-0.2511669896773991,0.2400000000000001,-0.246745879327828,0.2400000000000001,-0.2430495677783917,0.2400000000000001,-0.2399085749492685,0.2400000000000001,-0.2372029237892032,0.2400000000000001,-0.234845387619313,0.2400000000000001,-0.2327709864491717
0.2500000000000001,-0.2937532953492802,0.2500000000000001,-0.2881139806138518,0.2500000000000001,-0.2788380570419123,0.2500000000000001,-0.2713481062668748,0.2500000000000001,-0.2644141121965599,0.2500000000000001,-0.2588100165410621,0.2500000000000001,-0.2541542437211621,0.2500000000000001,-0.2502025351391907,0.2500000000000001,-0.2467914569514833,0.2500000000000001,-0.241167006799377,0.2500000000000001,-0.2367458951757423,0.2500000000000001,-0.2330495825897709,0.2500000000000001,-0.2299085888882801,0.2500000000000001,-0.2272029369763592,0.2500000000000001,-0.2248454001471218,0.2500000000000001,-0.2227709983910938
0.2600000000000001,-0.2837533595171289,0.2600000000000001,-0.2781140167912844,0.2600000000000001,-0.2688380873031026,0.2600000000000001,-0.2613481335643389,0.2600000000000001,-0.2544141385326457,0.2600000000000001,-0.2488100420196103,0.2600000000000001,-0.2441542684160463,0.2600000000000001,-0.2402025591092337,0.2600000000000001,-0.2367914802458846,0.2600000000000001,-0.2311670288643773,0.2600000000000001,-0.2267459155247754,0.2600000000000001,-0.2230496015565259,0.2600000000000001,-0.2199086067005288,0.2600000000000001,-0.2172029537995804,0.2600000000000001,-0.2148454161072239,0.2600000000000001,-0.2127710135873007
0.2700000000000001,-0.2737534435643217,0.2700000000000001,-0.2681140640651968,0.2700000000000001,-0.2588381267569681,0.2700000000000001,-0.2513481690906829,0.2700000000000001,-0.2444141726985979,0.2700000000000001,-0.2388100749938299,0.2700000000000001,-0.2341543003153165,0.2700000000000001,-0.230202590023858,0.2700000000000001,-0.2267915102495719,0.2700000000000001,-0.2211670572243533,0.2700000000000001,-0.2167459415870316,0.2700000000000001,-0.2130496257845357,0.2700000000000001,-0.2099086294072978,0.2700000000000001,-0.2072029752104493,0.2700000000000001,-0.2048454363923196,0.2700000000000001,-0.2027710328797923
0.2800000000000001,-0.2637535534301182,0.2800000000000001,-0.2581141257145432,0.2800000000000001,-0.2488381780835434,0.2800000000000001,-0.2413482152183778,0.2800000000000001,-0.2344142169133369,0.2800000000000001,-0.2288101175598645,0.2800000000000001,-0.2241543414121184,0.2800000000000001,-0.220202629787194,0.2800000000000001,-0.2167915487881566,0.2800000000000001,-0.211167093570961,0.2800000000000001,-0.206745974875379,0.2800000000000001,-0.2030496566514716,0.2800000000000001,-0.1999086582789668,0.2800000000000001,-0.1972030023912267,0.2800000000000001,-0.1948454621104194,0.2800000000000001,-0.1927710573127819
0.2900000000000001,-0.2537536967246639,0.2900000000000001,-0.2481142059297842,0.2900000000000001,-0.2388382446935918,0.2900000000000001,-0.2313482749562333,0.2900000000000001,-0.2244142739779716,0.2900000000000001,-0.2188101723544653,0.2900000000000001,-0.2141543942065072,0.2900000000000001,-0.2102026807820078,0.2900000000000001,-0.2067915981415809,0.2900000000000001,-0.2011671400100498,0.2900000000000001,-0.1967460172691989,0.2900000000000001,-0.193049695866031,0.2900000000000001,-0.1899086948891842,0.2900000000000001,-0.1872030368049103,0.2900000000000001,-0.1848454946314864,0.2900000000000001,-0.1827710881764446
