pch18_Cgd_Cgg (ll=2e-07) X,pch18_Cgd_Cgg (ll=2e-07) Y,pch18_Cgd_Cgg (ll=3e-07) X,pch18_Cgd_Cgg (ll=3e-07) Y,pch18_Cgd_Cgg (ll=4e-07) X,pch18_Cgd_Cgg (ll=4e-07) Y,pch18_Cgd_Cgg (ll=5e-07) X,pch18_Cgd_Cgg (ll=5e-07) Y,pch18_Cgd_Cgg (ll=6e-07) X,pch18_Cgd_Cgg (ll=6e-07) Y,pch18_Cgd_Cgg (ll=7e-07) X,pch18_Cgd_Cgg (ll=7e-07) Y,pch18_Cgd_Cgg (ll=8e-07) X,pch18_Cgd_Cgg (ll=8e-07) Y,pch18_Cgd_Cgg (ll=9e-07) X,pch18_Cgd_Cgg (ll=9e-07) Y,pch18_Cgd_Cgg (ll=1e-06) X,pch18_Cgd_Cgg (ll=1e-06) Y,pch18_Cgd_Cgg (ll=1.2e-06) X,pch18_Cgd_Cgg (ll=1.2e-06) Y,pch18_Cgd_Cgg (ll=1.4e-06) X,pch18_Cgd_Cgg (ll=1.4e-06) Y,pch18_Cgd_Cgg (ll=1.6e-06) X,pch18_Cgd_Cgg (ll=1.6e-06) Y,pch18_Cgd_Cgg (ll=1.8e-06) X,pch18_Cgd_Cgg (ll=1.8e-06) Y,pch18_Cgd_Cgg (ll=2e-06) X,pch18_Cgd_Cgg (ll=2e-06) Y,pch18_Cgd_Cgg (ll=2.2e-06) X,pch18_Cgd_Cgg (ll=2.2e-06) Y,pch18_Cgd_Cgg (ll=2.4e-06) X,pch18_Cgd_Cgg (ll=2.4e-06) Y
0.11,-0.2931123518510449,0.11,-0.2398896636077253,0.11,-0.2030453580862643,0.11,-0.1760230569951428,0.11,-0.1554398790948353,0.11,-0.1391672244395537,0.11,-0.1259798327744615,0.11,-0.115076328937286,0.11,-0.1059106656746192,0.11,-0.09135926045001898,0.11,-0.08035884368904402,0.11,-0.07172372006838094,0.11,-0.06476496590648534,0.11,-0.05903753394753553,0.11,-0.05424111633901594,0.11,-0.05016572778231935
0.12,-0.2937221222124934,0.12,-0.240622092782954,0.12,-0.203799326420842,0.12,-0.1767615025066924,0.12,-0.1561437174956187,0.12,-0.1398340658856567,0.12,-0.1266104439294171,0.12,-0.1156727537754305,0.12,-0.106475385857866,0.12,-0.09186807022788868,0.12,-0.0808203221618964,0.12,-0.07214544245005325,0.12,-0.06515297248891368,0.12,-0.05939666014786296,0.12,-0.05457526718324809,0.12,-0.05047808947632858
0.13,-0.2943468492142589,0.13,-0.241359543873163,0.13,-0.2045536704072144,0.13,-0.1774980223043297,0.13,-0.1568445637802769,0.13,-0.1404973956073571,0.13,-0.1272373092593761,0.13,-0.1162653550656566,0.13,-0.1070362927438901,0.13,-0.09237321475789495,0.13,-0.08127839518668081,0.13,-0.07256401449864194,0.13,-0.06553806373164896,0.13,-0.05975308230325096,0.13,-0.05490690230448459,0.13,-0.05078810296132298
0.14,-0.294985840482213,0.14,-0.2421016029141051,0.14,-0.2053081231983742,0.14,-0.1782324321384381,0.14,-0.1575423191522695,0.14,-0.1411571586595399,0.14,-0.1278603965663344,0.14,-0.1168541123462149,0.14,-0.1075933717191383,0.14,-0.0928746829908071,0.14,-0.0817330557913844,0.14,-0.07297943007038926,0.14,-0.06592023315939434,0.14,-0.06010679326808063,0.14,-0.05523601386972017,0.14,-0.05109575981689003
0.15,-0.2956384037773441,0.15,-0.2428478825452745,0.15,-0.2060624549971738,0.15,-0.1789645879734057,0.15,-0.1582369053011723,0.15,-0.1418133030598728,0.15,-0.1284796625096007,0.15,-0.117438983035851,0.15,-0.108146577627299,0.15,-0.09337242206257215,0.15,-0.08218424591481398,0.15,-0.0733916264841778,0.15,-0.06629941475467496,0.15,-0.06045772492509322,0.15,-0.05556253266936667,0.15,-0.05140099051023815
0.16,-0.2963038605147185,0.16,-0.243598020588307,0.16,-0.2068164594991512,0.16,-0.1796943647429799,0.16,-0.1589282312513365,0.16,-0.1424657390065877,0.16,-0.1290950069127136,0.16,-0.1180198536258831,0.16,-0.1086957840665754,0.16,-0.09386628508573486,0.16,-0.08263180307303969,0.16,-0.07380043133145227,0.16,-0.06667543061834828,0.16,-0.06080569708458658,0.16,-0.05588627845654893,0.16,-0.05170361626575677
0.17,-0.296981551515413,0.17,-0.2443516666924589,0.17,-0.2075699256962054,0.17,-0.180421619015098,0.17,-0.1596161426709231,0.17,-0.1431142794245328,0.17,-0.1297062075713435,0.17,-0.1185964708211384,0.17,-0.1092407123125089,0.17,-0.09435595842105203,0.17,-0.0830753862400654,0.17,-0.07420548860313343,0.17,-0.06704791827678287,0.17,-0.06115034649332072,0.17,-0.05620689093250889,0.17,-0.05200328215234928
0.18,-0.2976708342324481,0.18,-0.2451084554323876,0.18,-0.2083225925976455,0.18,-0.1811461324585237,0.18,-0.1603003492909141,0.18,-0.1437585564345407,0.18,-0.1303128293675505,0.18,-0.1191683458784341,0.18,-0.1097808327409529,0.18,-0.09484086093211468,0.18,-0.08351437311747581,0.18,-0.07460615622791751,0.18,-0.06741622979392078,0.18,-0.06149102825770879,0.18,-0.0565237338746857,0.18,-0.05229936410044708
0.19,-0.2983710706976729,0.19,-0.2458679636859229,0.19,-0.2090740831870318,0.19,-0.1818675312633078,0.19,-0.1609803236018099,0.19,-0.1443979054324383,0.19,-0.130914098356261,0.19,-0.1197346221410815,0.19,-0.1103152283391183,0.19,-0.09532000448772994,0.19,-0.08394771779178496,0.19,-0.07500136405587327,0.19,-0.06777929192158734,0.19,-0.06182667920082519,0.19,-0.05683576225544506,0.19,-0.05259084004164077
0.2,-0.2990816051732281,0.2,-0.246629648904237,0.2,-0.2098238117750997,0.2,-0.1825851738753082,0.2,-0.1616551604781446,0.2,-0.145031204580642,0.2,-0.1315087274463496,0.2,-0.1202938916836948,0.2,-0.1108424058378253,0.2,-0.09579180108666266,0.2,-0.08437375405649336,0.2,-0.07538941780435879,0.2,-0.06813541321437866,0.2,-0.0621556295671788,0.2,-0.05714133928153612,0.2,-0.05287611261836364
