pch18_gm_gds  (ll=2e-07) X,pch18_gm_gds  (ll=2e-07) Y,pch18_gm_gds  (ll=3e-07) X,pch18_gm_gds  (ll=3e-07) Y,pch18_gm_gds  (ll=4e-07) X,pch18_gm_gds  (ll=4e-07) Y,pch18_gm_gds  (ll=5e-07) X,pch18_gm_gds  (ll=5e-07) Y,pch18_gm_gds  (ll=6e-07) X,pch18_gm_gds  (ll=6e-07) Y,pch18_gm_gds  (ll=7e-07) X,pch18_gm_gds  (ll=7e-07) Y,pch18_gm_gds  (ll=8e-07) X,pch18_gm_gds  (ll=8e-07) Y,pch18_gm_gds  (ll=9e-07) X,pch18_gm_gds  (ll=9e-07) Y,pch18_gm_gds  (ll=1e-06) X,pch18_gm_gds  (ll=1e-06) Y,pch18_gm_gds  (ll=1.2e-06) X,pch18_gm_gds  (ll=1.2e-06) Y,pch18_gm_gds  (ll=1.4e-06) X,pch18_gm_gds  (ll=1.4e-06) Y,pch18_gm_gds  (ll=1.6e-06) X,pch18_gm_gds  (ll=1.6e-06) Y,pch18_gm_gds  (ll=1.8e-06) X,pch18_gm_gds  (ll=1.8e-06) Y,pch18_gm_gds  (ll=2e-06) X,pch18_gm_gds  (ll=2e-06) Y,pch18_gm_gds  (ll=2.2e-06) X,pch18_gm_gds  (ll=2.2e-06) Y,pch18_gm_gds  (ll=2.4e-06) X,pch18_gm_gds  (ll=2.4e-06) Y
0.2700000000000001,75.50541302949807,0.2700000000000001,146.8903213066456,0.2700000000000001,168.9021904986178,0.2700000000000001,181.7279296390861,0.2700000000000001,197.786842103402,0.2700000000000001,209.7898366257598,0.2700000000000001,219.0562373926014,0.2700000000000001,226.4012297857007,0.2700000000000001,232.352648455017,0.2700000000000001,241.3834393333337,0.2700000000000001,279.1569758488437,0.2700000000000001,316.4115798297076,0.2700000000000001,353.152507658772,0.2700000000000001,389.3867227250602,0.2700000000000001,425.1221333389303,0.2700000000000001,460.3671654890744
0.2800000000000001,75.32370139615627,0.2800000000000001,146.23794111135,0.2800000000000001,168.0447177990687,0.2800000000000001,180.7543106302186,0.2800000000000001,196.7262905012975,0.2800000000000001,208.6746330355887,0.2800000000000001,217.9058366906578,0.2800000000000001,225.2277860814431,0.2800000000000001,231.1639926452297,0.2800000000000001,240.1782294540007,0.2800000000000001,277.7954000720906,0.2800000000000001,314.8960762627853,0.2800000000000001,351.4841268394366,0.2800000000000001,387.5656719601998,0.2800000000000001,423.1480925073898,0.2800000000000001,458.2394807839815
0.2900000000000001,75.12551350996965,0.2900000000000001,145.5228506761727,0.2900000000000001,167.1107247229556,0.2900000000000001,179.7003081385878,0.2900000000000001,195.5942947305172,0.2900000000000001,207.4986417316804,0.2900000000000001,216.7054412760971,0.2900000000000001,224.0146341074239,0.2900000000000001,229.9451746893227,0.2900000000000001,238.9595971970824,0.2900000000000001,276.4354664280764,0.2900000000000001,313.396926840392,0.2900000000000001,349.8461475891402,0.2900000000000001,385.7882268780897,0.2900000000000001,421.2299155846245,0.2900000000000001,456.1789158290366
0.3000000000000001,74.90965856328395,0.3000000000000001,144.7435965430881,0.3000000000000001,166.1018398045219,0.3000000000000001,178.5708554430134,0.3000000000000001,194.4017251662821,0.3000000000000001,206.2779752288704,0.3000000000000001,215.4756995767987,0.3000000000000001,222.7863330723258,0.3000000000000001,228.724135473075,0.3000000000000001,237.7609965537234,0.3000000000000001,275.1194624721808,0.3000000000000001,311.9648627582448,0.3000000000000001,348.2973443214931,0.3000000000000001,384.1208064200351,0.3000000000000001,419.4412749604307,0.3000000000000001,454.2660159222764
0.3100000000000001,74.67514889871811,0.3100000000000001,143.9005834783186,0.3100000000000001,165.0229229604827,0.3100000000000001,177.3750963394177,0.3100000000000001,193.1646720912418,0.3100000000000001,205.0346759160444,0.3100000000000001,214.2436971140836,0.3100000000000001,221.5742478070096,0.3100000000000001,227.5358933185605,0.3100000000000001,236.6233149102399,0.3100000000000001,273.8978944231881,0.3100000000000001,310.6594454007791,0.3100000000000001,346.9057908933451,0.3100000000000001,382.6394786211048,0.3100000000000001,417.8657391859239,0.3100000000000001,452.5913802499568
0.3200000000000001,74.42129927375076,0.3200000000000001,142.9964828575599,0.3200000000000001,163.8824293821818,0.3200000000000001,176.1265822964012,0.3200000000000001,191.9042604171929,0.3200000000000001,203.7961398294541,0.3200000000000001,213.0420119265729,0.3200000000000001,220.415267957432,0.3200000000000001,226.4209600366626,0.3200000000000001,235.5927722346144,0.3200000000000001,272.8264289506404,0.3200000000000001,309.5450173253926,0.3200000000000001,345.7438022855527,0.3200000000000001,381.4238841348641,0.3200000000000001,416.5896760561445,0.3200000000000001,451.2475468844195
0.3300000000000001,74.14782950662581,0.3300000000000001,142.0364728243516,0.3300000000000001,162.6923259544472,0.3300000000000001,174.8427709006089,0.3300000000000001,190.645456097296,0.3300000000000001,202.593277764904,0.3300000000000001,211.9063002787826,0.3300000000000001,219.3488880946333,0.3300000000000001,225.4219780298292,0.3300000000000001,234.7168260550088,0.3300000000000001,271.9603612919172,0.3300000000000001,308.6837187748346,0.3300000000000001,344.8794993619793,0.3300000000000001,380.547358089533,0.3300000000000001,415.6909462551967,0.3300000000000001,450.3162768451004
0.3400000000000001,73.85495358536252,0.3400000000000001,141.0281492005873,0.3400000000000001,161.467290398677,0.3400000000000001,173.5434987261426,0.3400000000000001,189.4145091654078,0.3400000000000001,201.4570580288948,0.3400000000000001,210.8710709968361,0.3400000000000001,218.4123285883695,0.3400000000000001,224.5782832666275,0.3400000000000001,234.0378395559035,0.3400000000000001,271.346422719648,0.3400000000000001,308.1254568245685,0.3400000000000001,344.3649720665815,0.3400000000000001,380.0633251272092,0.3400000000000001,415.2235710351285,0.3400000000000001,449.8515368602322
0.3500000000000001,73.54342833367899,0.3500000000000001,139.9809131971191,0.3500000000000001,160.2229308060999,0.3500000000000001,172.2481708450384,0.3500000000000001,188.2348317084041,0.3500000000000001,200.4133062241433,0.3500000000000001,209.9636060045105,0.3500000000000001,217.6337351136963,0.3500000000000001,223.9185075840739,0.3500000000000001,233.5847604182497,0.3500000000000001,271.0123956202891,0.3500000000000001,307.8955359540132,0.3500000000000001,344.2220045388474,0.3500000000000001,379.9891961524181,0.3500000000000001,415.1998751903411,0.3500000000000001,449.8599605745565
0.3600000000000002,73.21452381420674,0.3600000000000002,138.9046471051658,0.3600000000000002,158.9728726864978,0.3600000000000002,170.9716313104379,0.3600000000000002,187.1214580071457,0.3600000000000002,199.4760910458278,0.3600000000000002,209.1965227193899,0.3600000000000002,217.0241009879974,0.3600000000000002,223.4519956346254,0.3600000000000002,233.3638034741658,0.3600000000000002,270.9559453595597,0.3600000000000002,307.9817887899075,0.3600000000000002,344.4276380777995,0.3600000000000002,380.2904838376497,0.3600000000000002,415.5732649812323,0.3600000000000002,450.282390239256
