pch18_gm_Id  (ll=2e-07) X,pch18_gm_Id  (ll=2e-07) Y,pch18_gm_Id  (ll=3e-07) X,pch18_gm_Id  (ll=3e-07) Y,pch18_gm_Id  (ll=4e-07) X,pch18_gm_Id  (ll=4e-07) Y,pch18_gm_Id  (ll=5e-07) X,pch18_gm_Id  (ll=5e-07) Y,pch18_gm_Id  (ll=6e-07) X,pch18_gm_Id  (ll=6e-07) Y,pch18_gm_Id  (ll=7e-07) X,pch18_gm_Id  (ll=7e-07) Y,pch18_gm_Id  (ll=8e-07) X,pch18_gm_Id  (ll=8e-07) Y,pch18_gm_Id  (ll=9e-07) X,pch18_gm_Id  (ll=9e-07) Y,pch18_gm_Id  (ll=1e-06) X,pch18_gm_Id  (ll=1e-06) Y,pch18_gm_Id  (ll=1.2e-06) X,pch18_gm_Id  (ll=1.2e-06) Y,pch18_gm_Id  (ll=1.4e-06) X,pch18_gm_Id  (ll=1.4e-06) Y,pch18_gm_Id  (ll=1.6e-06) X,pch18_gm_Id  (ll=1.6e-06) Y,pch18_gm_Id  (ll=1.8e-06) X,pch18_gm_Id  (ll=1.8e-06) Y,pch18_gm_Id  (ll=2e-06) X,pch18_gm_Id  (ll=2e-06) Y,pch18_gm_Id  (ll=2.2e-06) X,pch18_gm_Id  (ll=2.2e-06) Y,pch18_gm_Id  (ll=2.4e-06) X,pch18_gm_Id  (ll=2.4e-06) Y
0.18,27.76952029008923,0.18,29.11151364685213,0.18,29.62926989496984,0.18,29.90271280033091,0.18,29.75653726475138,0.18,29.65643772758535,0.18,29.58344252853164,0.18,29.52776945185603,0.18,29.48385427525533,0.18,29.41889084681182,0.18,29.38164711702841,0.18,29.35378175869458,0.18,29.33211963094642,0.18,29.31478026585483,0.18,29.30057725323915,0.18,29.28872413307505
0.19,27.725269508449,0.19,29.05682349651992,0.19,29.56780701740966,0.19,29.83679619168315,0.19,29.68688910172659,0.19,29.58405599740879,0.19,29.50896393325755,0.19,29.45162569757099,0.19,29.40635229788951,0.19,29.33929804323694,0.19,29.30043770779029,0.19,29.27133724233675,0.19,29.24869824105967,0.19,29.23056547415187,0.19,29.21570441888769,0.19,29.20329617059456
0.2,27.67710012503714,0.2,28.99645564860127,0.2,29.49949939267384,0.2,29.7632600788987,0.2,29.60913024765514,0.2,29.50321455830789,0.2,29.42576387421702,0.2,29.36655616063399,0.2,29.31976010827098,0.2,29.25036561157534,0.2,29.20973724896461,0.2,29.17929024783418,0.2,29.15558880748725,0.2,29.13659477677712,0.2,29.12102048168061,0.2,29.10801129194194
0.21,27.62442989954827,0.21,28.92952578100405,0.21,29.42326932901182,0.21,29.68090080110476,0.21,29.52201668934351,0.21,29.41264440109776,0.21,29.33255668478268,0.21,29.27126343975985,0.21,29.22277167206077,0.21,29.15077579147631,0.21,29.10823559855097,0.21,29.07633823954949,0.21,29.05149588319551,0.21,29.03157916490241,0.21,29.01524222491003,0.21,29.00159147862414
0.2200000000000001,27.5665989907812,0.2200000000000001,28.85503086430725,0.2200000000000001,29.33789765905904,0.2200000000000001,29.58835984582651,0.2200000000000001,29.42415622677792,0.2200000000000001,29.31093451966793,0.2200000000000001,29.22792014666869,0.2200000000000001,29.16431830826932,0.2200000000000001,29.1139532311223,0.2200000000000001,29.0390898122345,0.2200000000000001,28.9945117861106,0.2200000000000001,28.96107609412104,0.2200000000000001,28.93502822039099,0.2200000000000001,28.91413950760322,0.2200000000000001,28.89700112746229,0.2200000000000001,28.88267754468281
0.2300000000000001,27.50286367124876,0.2300000000000001,28.77184170118593,0.2300000000000001,29.24201744717666,0.2300000000000001,29.48411908987678,0.2300000000000001,29.31400844006306,0.2300000000000001,29.19653551671176,0.2300000000000001,29.11030195872735,0.2300000000000001,29.04416848621447,0.2300000000000001,28.99175396596095,0.2300000000000001,28.91376147108443,0.2300000000000001,28.86705090936352,0.2300000000000001,28.83201555182387,0.2300000000000001,28.80472024574779,0.2300000000000001,28.78282966812365,0.2300000000000001,28.76486783650956,0.2300000000000001,28.74985474872186
0.2400000000000001,27.43239112977988,0.2400000000000001,28.67869846516559,0.2400000000000001,29.13411252820639,0.2400000000000001,29.36650227442962,0.2400000000000001,29.18989212555857,0.2400000000000001,29.06777148410954,0.2400000000000001,28.97803502680959,0.2400000000000001,28.90915661660182,0.2400000000000001,28.85452613797781,0.2400000000000001,28.77316054564542,0.2400000000000001,28.72427113013812,0.2400000000000001,28.68761490032106,0.2400000000000001,28.6590638260596,0.2400000000000001,28.63616992471635,0.2400000000000001,28.61738693281837,0.2400000000000001,28.60168867102781
0.2500000000000001,27.35425608461828,0.2500000000000001,28.57421074123799,0.2500000000000001,29.0125229073581,0.2500000000000001,29.23368505672635,0.2500000000000001,29.05000243009376,0.2500000000000001,28.92286219931622,0.2500000000000001,28.82936340775075,0.2500000000000001,28.75754907169895,0.2500000000000001,28.70055614055451,0.2500000000000001,28.61560711605702,0.2500000000000001,28.56456139036931,0.2500000000000001,28.52631911129426,0.2500000000000001,28.49655019455448,0.2500000000000001,28.47269025929007,0.2500000000000001,28.45312128165893,0.2500000000000001,28.43677040961864
0.2600000000000001,27.26744010462985,0.2600000000000001,28.45686380246273,0.2600000000000001,28.87545919122155,0.2600000000000001,29.08371598286351,0.2600000000000001,28.89243957669143,0.2600000000000001,28.75995704571625,0.2600000000000001,28.66247985058383,0.2600000000000001,28.58757610522668,0.2600000000000001,28.5281065879486,0.2600000000000001,28.43941626339468,0.2600000000000001,28.38632849980254,0.2600000000000001,28.34660838719986,0.2600000000000001,28.31571940092253,0.2600000000000001,28.29098036479717,0.2600000000000001,28.27070237535006,0.2600000000000001,28.25376711173129
0.2700000000000001,27.17083468903643,0.2700000000000001,28.32503292162129,0.2700000000000001,28.72102799614329,0.2700000000000001,28.91455018638857,0.2700000000000001,28.71524999600254,0.2700000000000001,28.57718053526866,0.2700000000000001,28.47557397564031,0.2700000000000001,28.39748165343822,0.2700000000000001,28.3354670972164,0.2700000000000001,28.24294972486238,0.2700000000000001,28.18804888480446,0.2700000000000001,28.1470493347668,0.2700000000000001,28.1152106008534,0.2700000000000001,28.08973892217424,0.2700000000000001,28.06887856162082,0.2700000000000001,28.05146916573922
