nch18_gm_gds (ll=2e-07) X,nch18_gm_gds (ll=2e-07) Y,nch18_gm_gds (ll=3e-07) X,nch18_gm_gds (ll=3e-07) Y,nch18_gm_gds (ll=4e-07) X,nch18_gm_gds (ll=4e-07) Y,nch18_gm_gds (ll=5e-07) X,nch18_gm_gds (ll=5e-07) Y,nch18_gm_gds (ll=6e-07) X,nch18_gm_gds (ll=6e-07) Y,nch18_gm_gds (ll=7e-07) X,nch18_gm_gds (ll=7e-07) Y,nch18_gm_gds (ll=8e-07) X,nch18_gm_gds (ll=8e-07) Y,nch18_gm_gds (ll=9e-07) X,nch18_gm_gds (ll=9e-07) Y,nch18_gm_gds (ll=1e-06) X,nch18_gm_gds (ll=1e-06) Y,nch18_gm_gds (ll=1.2e-06) X,nch18_gm_gds (ll=1.2e-06) Y,nch18_gm_gds (ll=1.4e-06) X,nch18_gm_gds (ll=1.4e-06) Y,nch18_gm_gds (ll=1.6e-06) X,nch18_gm_gds (ll=1.6e-06) Y,nch18_gm_gds (ll=1.8e-06) X,nch18_gm_gds (ll=1.8e-06) Y,nch18_gm_gds (ll=2e-06) X,nch18_gm_gds (ll=2e-06) Y,nch18_gm_gds (ll=2.2e-06) X,nch18_gm_gds (ll=2.2e-06) Y,nch18_gm_gds (ll=2.4e-06) X,nch18_gm_gds (ll=2.4e-06) Y
0.3700000000000002,67.29640990411053,0.3700000000000002,149.5776228210495,0.3700000000000002,182.1522640612299,0.3700000000000002,200.7669710300772,0.3700000000000002,220.4953845118631,0.3700000000000002,237.2386982820706,0.3700000000000002,251.7033105063839,0.3700000000000002,264.3559108815866,0.3700000000000002,275.5378743227801,0.3700000000000002,294.4619216661738,0.3700000000000002,322.3412176753167,0.3700000000000002,347.2322244325669,0.3700000000000002,369.6206276618916,0.3700000000000002,389.8827906830595,0.3700000000000002,408.3185623994927,0.3700000000000002,425.1713882271212
0.3800000000000002,66.84126435147691,0.3800000000000002,148.0707501188197,0.3800000000000002,180.4187490921553,0.3800000000000002,199.088975238839,0.3800000000000002,218.9645152952868,0.3800000000000002,235.8986948186129,0.3800000000000002,250.5782386187529,0.3800000000000002,263.457824507531,0.3800000000000002,274.8711592291712,0.3800000000000002,294.2532544107619,0.3800000000000002,322.80004700542,0.3800000000000002,348.3185028310261,0.3800000000000002,371.2999227706296,0.3800000000000002,392.1238117785459,0.3800000000000002,411.092219515139,0.3800000000000002,428.4504114919836
0.3900000000000002,66.36422137482063,0.3900000000000002,146.542111550335,0.3900000000000002,178.7064781118578,0.3900000000000002,197.4736324812849,0.3900000000000002,217.5329388422683,0.3900000000000002,234.6880549386627,0.3900000000000002,249.6072625799098,0.3900000000000002,262.734285279178,0.3900000000000002,274.3960245884941,0.3900000000000002,294.2625773586515,0.3900000000000002,323.5103296184319,0.3900000000000002,349.6859233613539,0.3900000000000002,373.2867541513996,0.3900000000000002,394.6960338546136,0.3900000000000002,414.2185065525692,0.3900000000000002,432.1016563332519
0.4000000000000002,65.86629369488655,0.4000000000000002,144.9980370930954,0.4000000000000002,177.018099539462,0.4000000000000002,195.9162048627246,0.4000000000000002,216.1839290888605,0.4000000000000002,233.5779566090173,0.4000000000000002,248.7499751345972,0.4000000000000002,262.1340851167294,0.4000000000000002,274.0513405839167,0.4000000000000002,294.4115217401442,0.4000000000000002,324.3717162044151,0.4000000000000002,351.2143695014817,0.4000000000000002,375.4430881801255,0.4000000000000002,397.4451163343078,0.4000000000000002,417.5282000690896,0.4000000000000002,435.9422844793312
0.4100000000000002,65.34754597182634,0.4100000000000002,143.43864719449,0.4100000000000002,175.3450126977104,0.4100000000000002,194.3972529614244,0.4100000000000002,214.8832511325695,0.4100000000000002,232.5203181566125,0.4100000000000002,247.9457398640424,0.4100000000000002,261.5853819143804,0.4100000000000002,273.7553401887365,0.4100000000000002,294.6018341423385,0.4100000000000002,325.2615118058219,0.4100000000000002,352.7595249325594,0.4100000000000002,377.6052956415113,0.4100000000000002,400.1900725984195,0.4100000000000002,420.8246416398189,0.4100000000000002,439.7614331280581
0.4200000000000002,64.80673664734091,0.4200000000000002,141.8565413918785,0.4200000000000002,173.6666257521761,0.4200000000000002,192.8830397984002,0.4200000000000002,213.5811924195151,0.4200000000000002,231.4513996425954,0.4200000000000002,247.1187154527305,0.4200000000000002,261.0019720379187,0.4200000000000002,273.412966877306,0.4200000000000002,294.7244156302033,0.4200000000000002,326.0453857571868,0.4200000000000002,354.1650688577876,0.4200000000000002,379.5976766622679,0.4200000000000002,402.7379882931025,0.4200000000000002,423.8995291312613,0.4200000000000002,443.3369726178331
0.4300000000000002,64.24116509252077,0.4300000000000002,140.2366500775404,0.4300000000000002,171.9515927048919,0.4300000000000002,191.3283582116756,0.4300000000000002,212.2172458417704,0.4300000000000002,230.2980662221633,0.4300000000000002,246.1854110495883,0.4300000000000002,260.2918774957296,0.4300000000000002,272.9252726609876,0.4300000000000002,294.669828776704,0.4300000000000002,326.5897114966058,0.4300000000000002,355.2765707926662,0.4300000000000002,381.247693093393,0.4300000000000002,404.9004141319144,0.4300000000000002,426.5503225460172,0.4300000000000002,446.4538012887918
0.4400000000000002,63.64681401110258,0.4400000000000002,138.5575287300799,0.4400000000000002,170.1610901685182,0.4400000000000002,189.6815033863785,0.4400000000000002,210.726768243909,0.4400000000000002,228.985696834183,0.4400000000000002,245.0634848071197,0.4400000000000002,259.3667529389479,0.4400000000000002,272.1992195208011,0.4400000000000002,294.3384466879649,0.4400000000000002,326.7734777296079,0.4400000000000002,355.9548325104131,0.4400000000000002,382.4004921041847,0.4400000000000002,406.5088774114413,0.4400000000000002,428.5965894279087,0.4400000000000002,448.9209003608608
0.4500000000000002,63.01880969369871,0.4500000000000002,136.7940339441411,0.4500000000000002,168.2536700284811,0.4500000000000002,187.8905406221445,0.4500000000000002,209.0484082454077,0.4500000000000002,227.4462883172704,0.4500000000000002,243.6801847453524,0.4500000000000002,258.1504311830477,0.4500000000000002,271.1561737692674,0.4500000000000002,293.6485731194574,0.4500000000000002,326.4978717479947,0.4500000000000002,356.0866059756446,0.4500000000000002,382.9305176348409,0.4500000000000002,407.4272061655673,0.4500000000000002,429.8929034870171,0.4500000000000002,450.5846996541695
0.4600000000000002,62.35213361697495,0.4600000000000002,134.9209356499927,0.4600000000000002,166.1907728825171,0.4600000000000002,185.9096520199816,0.4600000000000002,207.1308911019437,0.4600000000000002,225.6252717187303,0.4600000000000002,241.9789598051256,0.4600000000000002,256.5851969740573,0.4600000000000002,269.7377745066397,0.4600000000000002,292.5414360957014,0.4600000000000002,325.6922584936993,0.4600000000000002,355.591290951798,0.4600000000000002,382.7487333447295,0.4600000000000002,407.5591372620462,0.4600000000000002,430.3367350780153,0.4600000000000002,451.337174251885
