pch18_ft    (ll=2e-07) X,pch18_ft    (ll=2e-07) Y,pch18_ft    (ll=3e-07) X,pch18_ft    (ll=3e-07) Y,pch18_ft    (ll=4e-07) X,pch18_ft    (ll=4e-07) Y,pch18_ft    (ll=5e-07) X,pch18_ft    (ll=5e-07) Y,pch18_ft    (ll=6e-07) X,pch18_ft    (ll=6e-07) Y,pch18_ft    (ll=7e-07) X,pch18_ft    (ll=7e-07) Y,pch18_ft    (ll=8e-07) X,pch18_ft    (ll=8e-07) Y,pch18_ft    (ll=9e-07) X,pch18_ft    (ll=9e-07) Y,pch18_ft    (ll=1e-06) X,pch18_ft    (ll=1e-06) Y,pch18_ft    (ll=1.2e-06) X,pch18_ft    (ll=1.2e-06) Y,pch18_ft    (ll=1.4e-06) X,pch18_ft    (ll=1.4e-06) Y,pch18_ft    (ll=1.6e-06) X,pch18_ft    (ll=1.6e-06) Y,pch18_ft    (ll=1.8e-06) X,pch18_ft    (ll=1.8e-06) Y,pch18_ft    (ll=2e-06) X,pch18_ft    (ll=2e-06) Y,pch18_ft    (ll=2.2e-06) X,pch18_ft    (ll=2.2e-06) Y,pch18_ft    (ll=2.4e-06) X,pch18_ft    (ll=2.4e-06) Y
0.3500000000000001,-255332256.9606993,0.3500000000000001,-207916281.1635727,0.3500000000000001,-168155894.7749846,0.3500000000000001,-135698465.3944598,0.3500000000000001,-113422301.0772236,0.3500000000000001,-94776735.02576131,0.3500000000000001,-79733752.59306405,0.3500000000000001,-67686077.49649031,0.3500000000000001,-58002434.40415341,0.3500000000000001,-43742370.68486773,0.3500000000000001,-34064436.89524684,0.3500000000000001,-27199328.5970245,0.3500000000000001,-22182158.25319253,0.3500000000000001,-18416871.65406512,0.3500000000000001,-15524944.6263254,0.3500000000000001,-13258720.94720176
0.3600000000000002,-324966559.3354251,0.3600000000000002,-261837777.593178,0.3600000000000002,-208230396.3963969,0.3600000000000002,-165346987.6906305,0.3600000000000002,-135498717.0738569,0.3600000000000002,-111381521.7049686,0.3600000000000002,-92433558.90365346,0.3600000000000002,-77575782.72444172,0.3600000000000002,-65838633.73984966,0.3600000000000002,-48896763.99367473,0.3600000000000002,-37639813.99703228,0.3600000000000002,-29791021.66822222,0.3600000000000002,-24129465.3023637,0.3600000000000002,-19923787.57525197,0.3600000000000002,-16719960.06654373,0.3600000000000002,-14226072.1568598
0.3700000000000002,-411424295.9901497,0.3700000000000002,-326510511.3125235,0.3700000000000002,-254394869.1664858,0.3700000000000002,-198281826.3184854,0.3700000000000002,-159153725.5222059,0.3700000000000002,-128684087.1237681,0.3700000000000002,-105386068.9552516,0.3700000000000002,-87497189.64549577,0.3700000000000002,-73600781.22133729,0.3700000000000002,-53915272.26230635,0.3700000000000002,-41100621.64767381,0.3700000000000002,-32297393.08628187,0.3700000000000002,-26016428.22377568,0.3700000000000002,-21389417.89899844,0.3700000000000002,-17887684.09890517,0.3700000000000002,-15176267.76720127
0.3800000000000002,-517776388.3036345,0.3800000000000002,-402676728.551019,0.3800000000000002,-306285858.7449803,0.3800000000000002,-233859526.3566145,0.3800000000000002,-183835426.3767888,0.3800000000000002,-146296712.1375314,0.3800000000000002,-118342178.5075919,0.3800000000000002,-97300271.39769939,0.3800000000000002,-81205381.56633444,0.3800000000000002,-58785612.81467161,0.3800000000000002,-44465462.89848194,0.3800000000000002,-34746707.15245261,0.3800000000000002,-27872584.55622754,0.3800000000000002,-22841427.51681755,0.3800000000000002,-19052915.17641844,0.3800000000000002,-16131119.68433126
0.3900000000000002,-647217145.0961118,0.3900000000000002,-490600903.5216088,0.3900000000000002,-363158449.1840975,0.3900000000000002,-271270126.4778153,0.3900000000000002,-208997373.6469,0.3900000000000002,-163899715.7162402,0.3900000000000002,-131131445.6108447,0.3900000000000002,-106904968.3262936,0.3900000000000002,-88625179.73988129,0.3900000000000002,-63527157.82428205,0.3900000000000002,-47766812.41446928,0.3900000000000002,-37171386.34612434,0.3900000000000002,-29726575.66291036,0.3900000000000002,-24304069.53627858,0.3900000000000002,-20235889.25830632,0.3900000000000002,-17107456.92138977
0.4000000000000002,-802871792.2574412,0.4000000000000002,-589953371.0786974,0.4000000000000002,-423958918.0632451,0.4000000000000002,-309655217.0114849,0.4000000000000002,-234171421.5570058,0.4000000000000002,-181267985.669662,0.4000000000000002,-143661044.510267,0.4000000000000002,-116287046.7957394,0.4000000000000002,-95870246.89406835,0.4000000000000002,-68172795.20276129,0.4000000000000002,-51037438.36786394,0.4000000000000002,-39598643.71107538,0.4000000000000002,-31599852.0489691,0.4000000000000002,-25793995.98786142,0.4000000000000002,-21449509.37989606,0.4000000000000002,-18115311.29990909
0.4100000000000002,-987537417.0510625,0.4100000000000002,-699768976.4785458,0.4100000000000002,-487455459.1699733,0.4100000000000002,-348223186.1931003,0.4100000000000002,-259006532.4356312,0.4100000000000002,-198267701.8711171,0.4100000000000002,-155896543.794798,0.4100000000000002,-125455552.577786,0.4100000000000002,-102967131.3882566,0.4100000000000002,-72754707.52583933,0.4100000000000002,-54302179.39851128,0.4100000000000002,-42046047.44193598,0.4100000000000002,-33504472.94839654,0.4100000000000002,-27319353.83538826,0.4100000000000002,-22699188.93134608,0.4100000000000002,-19158187.00226074
0.4200000000000002,-1203373091.006886,0.4200000000000002,-818501107.5274673,0.4200000000000002,-552390483.5435523,0.4200000000000002,-386330714.2251365,0.4200000000000002,-283273546.4589403,0.4200000000000002,-214836296.684596,0.4200000000000002,-167838875.8724706,0.4200000000000002,-134433478.4509225,0.4200000000000002,-109944347.6460291,0.4200000000000002,-77297414.6059835,0.4200000000000002,-57575743.80512988,0.4200000000000002,-44521610.33423657,0.4200000000000002,-35444234.80513503,0.4200000000000002,-28881338.93207986,0.4200000000000002,-23984532.56750938,0.4200000000000002,-20234725.32861761
0.4300000000000002,-1451573703.162804,0.4300000000000002,-944165543.9187578,0.4300000000000002,-617616803.3084174,0.4300000000000002,-423520984.8983166,0.4300000000000002,-306850270.2045496,0.4300000000000002,-230961130.0084102,0.4300000000000002,-179508119.9695533,0.4300000000000002,-143247613.93354,0.4300000000000002,-116826924.4083751,0.4300000000000002,-81817630.81023422,0.4300000000000002,-60865073.70041068,0.4300000000000002,-47026875.71041879,0.4300000000000002,-37417788.30889282,0.4300000000000002,-30477095.49641927,0.4300000000000002,-25301946.5548869,0.4300000000000002,-21341024.09962035
0.4400000000000002,-1732079281.422182,0.4400000000000002,-1074545792.220659,0.4400000000000002,-682195972.4607595,0.4400000000000002,-459528292.325227,0.4400000000000002,-329702868.5685638,0.4400000000000002,-246666039.5978967,0.4400000000000002,-190937330.2651599,0.4400000000000002,-151927410.9907476,0.4400000000000002,-123638213.9826684,0.4400000000000002,-86328356.99220957,0.4400000000000002,-64173980.05301724,0.4400000000000002,-49561195.39136454,0.4400000000000002,-39422359.56373417,0.4400000000000002,-32102894.81108449,0.4400000000000002,-26647346.15263484,0.4400000000000002,-22472951.21697365
